YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,3,265,403,11,273,264
2017-02,6,253,428,17,289,272
2017-03,4,295,434,28,341,219
2017-04,6,273,260,40,269,178
2017-06,2,167,121,25,176,153
2017-07,6,163,162,16,219,143
2017-08,9,162,149,29,270,179
2017-09,7,132,90,39,174,192
2017-10,9,132,59,20,214,189
2017-11,7,171,69,36,264,188
2017-12,5,111,49,19,309,152
2018-01,9,129,63,28,293,147
2018-02,6,88,44,15,197,128
2018-03,6,99,36,18,230,168
2018-04,16,158,57,21,139,134
2018-05,11,106,28,6,122,206
2018-06,9,70,35,2,94,135
2018-07,5,107,10,5,78,124
