YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,0,1532,1,0,18,23
201602,6,1038,4,2,38,35
201603,1,661,27,4,40,58
201604,0,394,102,2,36,95
201605,4,269,110,1,31,69
201606,8,716,361,11,54,112
201607,0,352,508,5,52,117
201608,0,319,830,2,73,89
201609,0,359,1429,16,77,150
201610,1,372,1065,8,101,129
201611,3,438,1061,36,295,191
201612,3,304,596,29,377,217
201701,3,265,403,11,273,264
201702,6,253,428,17,289,272
201703,4,295,434,28,341,219
201704,6,273,260,40,269,178
201705,1,458,490,109,564,275
201706,2,167,121,25,176,153
201707,6,163,162,16,219,143
201708,9,162,149,29,270,179
201709,7,132,90,39,174,192
201710,9,132,59,20,214,189
201711,7,171,69,36,264,188
