Herkunftsland,ENTSCHEIDUNGEN über Asylanträge insgesamt
"Syrien, Arabische Republik",105620
Albanien,35721
Kosovo,29801
Serbien,22341
Irak,16796
Eritrea,10099
Mazedonien,8245
Bosnien und Herzegowina,6500
Afghanistan,5966
Russische Föderation,4832
Ungeklärt,4128
"Iran, Islamische Republik",2664
Georgien,2360
sonst. asiat. Staatsangeh.,2332
Montenegro,2297
Staatenlos,2158
Somalia,2038
Pakistan,2015
Nigeria,1149
Algerien,1119
Ukraine,1008
Marokko,962
Türkei,887
Ägypten,864
Armenien,693
Gambia,603
Ghana,567
Indien,551
Tunesien,524
Sudan (ohne Südsudan),479
Libanon,448
Bangladesch,447
Guinea,413
Äthiopien,394
Aserbaidschan,390
Kamerun,381
Libyen,358
Elfenbeinküste (Cote d Ivoire),347
Mali,336
Vietnam,305
Guinea-Bissau,222
Senegal,215
Mongolei,212
Sri Lanka,210
Tadschikistan,178
Kenia,166
China,166
"Kongo, Dem. Republik",164
Tschad,149
Burkina-Faso,127
Staatsangehörigkeit ohne Bezeichnung,116
Niger,106
Benin,103
Kasachstan,87
Mauretanien,86
sonst. afrik. Staatsangeh.,81
Sierra Leone,76
Jemen,76
Kirgisistan,71
Weißrußland,70
Angola,66
Togo,64
Jordanien,61
Turkmenistan,52
Liberia,46
Moldau (Republik),44
sonst. europ. Staatsangeh.,38
Kuba,35
Ruanda,32
Bulgarien,28
Bahrain,27
Uganda,25
Südsudan,24
Kroatien,22
Kongo,22
Myanmar,22
Simbabwe,17
Honduras,15
Nepal,15
Kolumbien,13
Usbekistan,12
Tschechische Republik,11
Tansania,11
Brasilien,11
Jamaica,11
Philippinen,11
Ungarn,10
Dschibuti,9
ohne Angabe,9
Gabun,7
Zentralafrikanische Republik,7
Venezuela,7
Italien,6
Rumänien,6
Burundi,6
Griechenland,5
Sambia,5
Namibia,5
Vereinigte Staaten v. Amerika,5
Bhutan,5
Kambodscha,5
Frankreich,4
Botsuana,4
Südafrika,4
Mexico,4
Korea (Demokrat. Volksrepubl.),4
Schweden,3
Dominikanische Republik,3
Peru,3
Israel,3
Saudi Arabien,3
Belgien,2
Estland,2
Lettland,2
Litauen,2
Polen,2
Portugal,2
Großbritannien mit Nordirland,2
Mauritius,2
Malawi,2
Chile,2
Haiti,2
Nicaragua,2
Indonesien,2
Korea (Republik),2
Niederlande,1
Spanien,1
Zypern,1
Lesotho,1
Äquatorialguinea,1
Swasiland,1
Argentinien,1
Suriname,1
Trinidad und Tobago,1
Japan,1
China (Taiwan),1
Australien,1
Slowenien,0
Slowakische Republik,0
Schweiz,0
Cabo Verde,0
Komoren,0
Mosambik,0
Belize,0
Ecuador,0
El Salvador,0
Grenada,0
Guatemala,0
Kanada,0
Paraguay,0
Katar,0
Kuwait,0
"Laos, Demokratische Volksrepublik",0
Oman,0
Vereinigte arabische Emirate,0
Thailand,0
Malaysia,0
Neuseeland,0
