YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,4,43,5,24,2443
2017-02,2,56,7,14,2337
2017-03,10,79,20,23,2178
2017-04,2,44,8,34,1601
2017-05,1,69,25,51,1936
2017-06,5,27,2,22,761
2017-07,0,39,6,26,943
2017-08,3,26,6,28,840
2017-09,0,19,4,6,407
2017-10,2,28,1,18,514
2017-11,1,19,9,36,598
2017-12,1,22,3,17,365
2018-01,2,16,2,14,465
2018-02,1,12,4,7,295
2018-03,1,10,0,11,300
2018-04,0,12,3,5,285
2018-05,1,8,3,2,168
2018-06,0,4,1,2,195
2018-07,0,11,0,0,159
2018-08,4,6,0,2,180
2018-09,0,12,0,9,119
2018-10,0,12,0,1,165
2018-11,0,11,0,10,203
2018-12,0,4,4,5,115
