YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,0,30,12,40,177,143
2018-02,1,59,8,21,192,152
2018-03,2,30,10,30,212,143
2018-04,1,46,1,25,184,149
2018-05,1,21,4,17,139,124
2018-06,0,13,4,11,122,117
2018-07,3,11,0,11,94,119
2018-08,2,11,2,21,110,110
2018-09,1,19,3,14,146,113
2018-10,2,35,4,11,203,115
2018-11,0,25,4,10,173,131
2018-12,1,20,1,12,130,106
2019-01,3,37,6,9,222,154
2019-02,0,29,7,6,210,163
2019-03,2,54,2,14,172,165
2019-04,5,25,5,10,157,156
2019-05,1,30,6,15,136,110
2019-06,1,38,5,11,138,98
2019-07,5,35,4,14,121,95
2019-08,1,16,5,11,109,84
2019-09,3,18,5,8,95,71
2019-10,1,13,10,6,82,58
2019-11,3,24,6,12,102,61
2019-12,3,20,7,4,84,76
