YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,2,3,6,14,60,102
2018-02,0,2,2,5,33,99
2018-03,0,5,6,9,45,118
2018-04,2,12,8,14,40,67
2018-05,0,8,1,1,47,50
2018-06,1,8,1,14,33,59
2018-07,0,3,3,4,41,48
2018-08,0,5,5,6,37,39
2018-09,1,2,2,4,31,34
2018-10,0,5,10,5,13,62
2018-11,1,4,9,2,47,28
2018-12,1,10,4,2,21,13
2019-01,2,7,16,7,32,35
2019-02,0,4,13,1,34,44
2019-03,0,2,4,4,41,34
2019-04,1,15,4,3,31,30
2019-05,1,2,5,2,21,32
2019-06,0,7,2,1,13,25
2019-07,1,3,8,1,15,16
2019-08,0,8,10,1,21,26
2019-09,0,1,10,0,8,34
2019-10,1,1,11,1,19,32
2019-11,2,0,13,2,19,40
2019-12,1,1,7,4,26,32
