YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,0,23,60,0,0,26
2019-02,7,19,83,2,1,12
2019-03,0,4,53,5,6,17
2019-04,0,12,67,0,1,24
2019-05,0,14,53,1,0,21
2019-06,1,1,63,0,0,9
2019-07,0,7,41,0,4,24
2019-08,5,5,67,0,0,9
2019-09,0,2,39,3,0,19
2019-10,0,3,28,1,0,3
2019-11,0,2,38,2,5,19
2019-12,0,1,33,0,1,12
2020-01,2,9,40,2,2,9
2020-02,0,4,35,4,10,7
2020-03,1,8,40,2,7,7
2020-04,1,2,16,0,7,2
2020-05,2,0,38,0,22,10
2020-06,2,2,15,2,13,5
2020-07,4,4,27,1,12,12
2020-08,1,0,21,2,11,6
