YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,0,9,2,1,194,83
2017-02,0,7,0,5,161,92
2017-03,0,2,0,6,170,96
2017-04,1,3,1,6,85,58
2017-05,0,2,0,5,139,37
2017-06,0,3,0,2,39,23
2017-07,0,0,0,4,52,35
2017-08,0,2,0,3,39,36
2017-09,0,3,0,2,23,37
2017-10,0,0,0,6,20,20
2017-11,0,1,1,1,34,32
2017-12,0,0,0,0,30,34
2018-01,0,0,0,2,24,35
2018-02,0,2,3,0,21,19
2018-03,0,0,0,0,25,29
2018-04,2,0,0,0,13,26
2018-05,0,1,0,0,17,23
2018-06,0,0,0,0,17,25
2018-07,0,0,0,0,18,19
2018-08,0,0,0,0,8,21
2018-09,0,0,0,1,10,11
2018-10,0,0,0,0,15,16
2018-11,0,0,0,0,14,27
2018-12,0,0,0,0,7,21
2019-01,0,1,0,1,16,29
2019-02,0,3,0,0,18,31
2019-03,0,0,0,1,20,24
2019-04,0,0,0,0,15,22
2019-05,0,1,0,0,12,33
2019-06,0,0,0,1,10,22
2019-07,0,1,0,0,11,18
2019-08,0,1,0,0,8,19
2019-09,0,0,0,0,3,17
2019-10,0,1,0,1,5,21
2019-11,0,0,0,0,11,17
2019-12,0,2,0,0,20,11
2020-01,0,0,0,1,17,22
2020-02,0,0,0,0,12,14
2020-03,0,1,0,1,4,13
2020-04,0,0,0,0,6,4
