YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Tuerkei,163,776,737,39,1074,79,318,7,6,518,146,3031,191,79,318,7,6,477,121,0,0,0,0,41,13,12
2018-02,Tuerkei,163,635,604,31,781,87,281,1,5,314,93,2946,185,87,279,1,3,294,79,0,2,0,2,20,4,10
2018-03,Tuerkei,163,622,583,39,835,61,277,14,12,355,116,2809,194,61,276,12,12,332,105,0,1,2,0,23,10,1
2018-04,Tuerkei,163,546,506,40,764,36,203,4,4,382,135,2672,180,36,203,4,3,355,103,0,0,0,1,27,22,10
2018-05,Tuerkei,163,685,652,33,715,49,173,3,7,384,99,2697,174,49,173,1,7,371,72,0,0,2,0,13,21,6
2018-06,Tuerkei,163,930,884,46,590,41,111,0,5,331,102,3060,195,41,111,0,5,319,87,0,0,0,0,12,10,5
2018-07,Tuerkei,163,1172,1141,31,549,36,129,3,3,297,81,3721,192,36,128,2,2,288,56,0,1,1,1,9,18,7
2018-08,Tuerkei,163,1243,1212,31,574,49,178,3,6,269,69,4442,190,49,177,3,6,256,48,0,1,0,0,13,19,2
2018-09,Tuerkei,163,1093,1057,36,672,52,200,0,1,341,78,4932,187,52,199,0,1,319,54,0,1,0,0,22,20,4
2018-10,Tuerkei,163,1206,1158,48,903,51,334,5,2,414,97,5300,196,51,328,2,2,400,76,0,6,3,0,14,13,8
2018-11,Tuerkei,163,922,883,39,1051,78,443,6,6,437,81,5201,207,77,439,5,6,426,59,1,4,1,0,11,12,10
2018-12,Tuerkei,163,570,530,40,751,66,331,1,2,293,58,5048,216,64,328,1,1,280,43,2,3,0,1,13,10,5
2019-01,Tuerkei,163,944,905,39,1069,97,426,5,3,432,106,4992,211,97,425,5,2,418,78,0,1,0,1,14,16,12
2019-02,Tuerkei,163,805,761,44,1059,70,459,2,4,429,95,4799,198,70,458,2,4,408,63,0,1,0,0,21,30,2
2019-03,Tuerkei,163,655,602,53,920,79,378,4,3,358,98,4600,199,79,374,4,3,343,61,0,4,0,0,15,35,2
2019-04,Tuerkei,163,729,692,37,777,56,267,4,1,351,98,4610,189,56,259,4,1,338,65,0,8,0,0,13,28,5
2019-05,Tuerkei,163,989,945,44,758,40,252,0,4,369,93,4890,194,40,252,0,3,354,61,0,0,0,1,15,26,6
2019-06,Tuerkei,163,751,711,40,568,30,138,1,4,314,81,5087,204,30,136,1,3,302,60,0,2,0,1,12,17,4
2019-07,Tuerkei,163,1274,1214,60,880,66,289,4,3,410,108,5532,215,66,289,4,3,391,69,0,0,0,0,19,39,0
2019-08,Tuerkei,163,1306,1251,55,893,60,338,9,2,386,98,5983,216,59,338,9,1,370,59,1,0,0,1,16,30,9
2019-09,Tuerkei,163,1125,1087,38,803,66,308,7,2,342,78,6368,199,65,300,6,1,322,44,1,8,1,1,20,26,8
2019-10,Tuerkei,163,1141,1077,64,780,53,252,0,1,388,86,6753,226,53,251,0,1,372,58,0,1,0,0,16,22,6
2019-11,Tuerkei,163,852,778,74,847,44,332,1,3,360,107,6793,251,44,326,1,2,348,63,0,6,0,1,12,27,17
2019-12,Tuerkei,163,568,524,44,1163,109,669,1,3,308,73,6262,235,109,640,1,0,297,45,0,29,0,3,11,22,6
2020-01,Tuerkei,163,889,826,63,1222,58,534,8,4,473,145,5989,243,58,525,5,2,462,99,0,9,3,2,11,39,7
2020-02,Tuerkei,163,713,656,57,873,43,338,2,1,405,84,5897,246,43,330,2,1,388,55,0,8,0,0,17,23,6
2020-03,Tuerkei,163,478,432,46,951,54,436,1,2,365,93,5470,253,53,436,1,1,349,67,1,0,0,1,16,24,2
2020-04,Tuerkei,163,398,369,29,589,42,302,0,2,193,50,5360,259,39,296,0,2,183,32,3,6,0,0,10,12,6
2020-05,Tuerkei,163,252,223,29,1212,38,365,5,3,693,108,4519,229,36,353,2,2,665,81,2,12,3,1,28,21,6
2020-06,Tuerkei,163,298,258,40,1178,89,429,2,7,561,90,3755,227,86,424,2,7,534,62,3,5,0,0,27,24,4
2020-07,Tuerkei,163,391,315,76,933,57,300,2,4,499,71,3335,256,57,294,2,1,478,42,0,6,0,3,21,28,1
2020-08,Tuerkei,163,462,403,59,637,29,207,2,2,308,89,3215,284,29,206,1,1,295,43,0,1,1,1,13,35,11
