YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,1,10,4,6,227
2017-02,0,14,2,3,325
2017-03,0,29,8,8,501
2017-04,0,16,3,22,398
2017-05,1,37,5,22,928
2017-06,0,7,3,11,573
2017-07,0,11,6,15,521
2017-08,0,14,3,15,696
2017-09,1,16,3,15,401
2017-10,1,14,1,22,473
2017-11,1,29,2,19,418
2017-12,0,16,12,31,423
2018-01,0,26,3,23,528
2018-02,1,28,3,21,347
2018-03,0,20,2,11,338
2018-04,1,8,0,18,344
2018-05,2,3,1,11,230
2018-06,0,4,2,9,127
2018-07,0,4,0,5,116
2018-08,0,7,0,10,97
2018-09,0,4,0,7,85
2018-10,1,4,1,15,133
2018-11,1,8,0,1,146
2018-12,0,2,0,7,64
2019-01,0,8,0,7,80
2019-02,2,8,0,3,80
2019-03,0,3,0,4,71
2019-04,1,2,0,0,72
2019-05,0,1,0,1,48
2019-06,0,3,0,1,43
2019-07,1,2,0,2,68
2019-08,1,3,0,4,52
2019-09,0,2,0,2,42
2019-10,1,1,0,3,34
2019-11,1,0,1,4,35
2019-12,0,3,0,4,39
2020-01,0,2,1,3,37
2020-02,0,4,0,0,37
2020-03,1,6,1,2,40
2020-04,0,4,1,0,15
2020-05,0,7,0,6,72
2020-06,0,3,1,2,26
2020-07,0,4,2,4,32
2020-08,0,1,0,2,24
