YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Senegal,269,34,28,6,289,0,9,2,1,194,83,899,78,0,9,2,1,193,75,0,0,0,0,1,4,4
2017-02,Senegal,269,38,33,5,265,0,7,0,5,161,92,684,69,0,7,0,5,160,79,0,0,0,0,1,6,7
2017-03,Senegal,269,41,33,8,274,0,2,0,6,170,96,473,45,0,2,0,6,159,73,0,0,0,0,11,19,4
2017-04,Senegal,269,18,16,2,154,1,3,1,6,85,58,339,40,1,3,1,5,83,45,0,0,0,1,2,10,3
2017-05,Senegal,269,21,16,5,183,0,2,0,5,139,37,195,42,0,2,0,5,136,22,0,0,0,0,3,5,10
2017-06,Senegal,269,24,16,8,67,0,3,0,2,39,23,162,42,0,3,0,2,34,15,0,0,0,0,5,5,3
2017-07,Senegal,269,32,13,19,91,0,0,0,4,52,35,121,35,0,0,0,3,45,16,0,0,0,1,7,10,9
2017-08,Senegal,269,26,12,14,80,0,2,0,3,39,36,98,35,0,2,0,3,36,20,0,0,0,0,3,9,7
2017-09,Senegal,269,27,22,5,65,0,3,0,2,23,37,104,24,0,3,0,1,20,17,0,0,0,1,3,17,3
2017-10,Senegal,269,22,14,8,46,0,0,0,6,20,20,103,25,0,0,0,6,19,15,0,0,0,0,1,2,3
2017-11,Senegal,269,50,37,13,69,0,1,1,1,34,32,109,22,0,1,1,1,30,21,0,0,0,0,4,9,2
2017-12,Senegal,269,20,15,5,64,0,0,0,0,30,34,98,13,0,0,0,0,29,18,0,0,0,0,1,8,8
2018-01,Senegal,269,38,27,11,61,0,0,0,2,24,35,94,10,0,0,0,2,22,21,0,0,0,0,2,11,3
2018-02,Senegal,269,24,19,5,45,0,2,3,0,21,19,81,8,0,1,3,0,20,15,0,1,0,0,1,2,2
2018-03,Senegal,269,26,18,8,54,0,0,0,0,25,29,64,13,0,0,0,0,22,22,0,0,0,0,3,6,1
2018-04,Senegal,269,29,20,9,41,2,0,0,0,13,26,53,12,2,0,0,0,12,16,0,0,0,0,1,9,1
2018-05,Senegal,269,27,19,8,41,0,1,0,0,17,23,49,13,0,1,0,0,16,16,0,0,0,0,1,5,2
2018-06,Senegal,269,22,17,5,42,0,0,0,0,17,25,43,11,0,0,0,0,14,18,0,0,0,0,3,4,3
2018-07,Senegal,269,25,16,9,37,0,0,0,0,18,19,39,10,0,0,0,0,16,9,0,0,0,0,2,8,2
2018-08,Senegal,269,27,15,12,29,0,0,0,0,8,21,41,15,0,0,0,0,8,16,0,0,0,0,0,4,1
2018-09,Senegal,269,26,19,7,22,0,0,0,1,10,11,49,15,0,0,0,1,10,4,0,0,0,0,0,5,2
2018-10,Senegal,269,32,24,8,31,0,0,0,0,15,16,59,18,0,0,0,0,14,10,0,0,0,0,1,3,3
2018-11,Senegal,269,33,28,5,41,0,0,0,0,14,27,66,9,0,0,0,0,13,15,0,0,0,0,1,12,0
2018-12,Senegal,269,32,22,10,28,0,0,0,0,7,21,68,13,0,0,0,0,7,15,0,0,0,0,0,5,1
2019-01,Senegal,269,45,33,12,47,0,1,0,1,16,29,70,17,0,1,0,1,16,21,0,0,0,0,0,7,1
2019-02,Senegal,269,44,33,11,52,0,3,0,0,18,31,67,19,0,3,0,0,17,23,0,0,0,0,1,5,3
2019-03,Senegal,269,26,23,3,45,0,0,0,1,20,24,53,17,0,0,0,1,18,20,0,0,0,0,2,3,1
2019-04,Senegal,269,41,32,9,37,0,0,0,0,15,22,62,19,0,0,0,0,14,17,0,0,0,0,1,5,0
2019-05,Senegal,269,26,19,7,46,0,1,0,0,12,33,48,20,0,1,0,0,11,26,0,0,0,0,1,6,1
2019-06,Senegal,269,15,11,4,33,0,0,0,1,10,22,38,16,0,0,0,1,10,14,0,0,0,0,0,8,0
2019-07,Senegal,269,38,29,9,30,0,1,0,0,11,18,53,15,0,1,0,0,9,10,0,0,0,0,2,6,2
2019-08,Senegal,269,16,8,8,28,0,1,0,0,8,19,46,15,0,0,0,0,8,8,0,1,0,0,0,9,2
2019-09,Senegal,269,20,15,5,20,0,0,0,0,3,17,44,16,0,0,0,0,3,14,0,0,0,0,0,1,2
2019-10,Senegal,269,25,16,9,28,0,1,0,1,5,21,40,19,0,0,0,0,5,18,0,1,0,1,0,2,1
2019-11,Senegal,269,43,38,5,28,0,0,0,0,11,17,60,19,0,0,0,0,11,10,0,0,0,0,0,3,4
