Herkunftsland,ENTSCHEIDUNGEN ueber Asylantraege insgesamt
Albanien,9548
Bosnien und Herzegowina,2159
Belgien,1
Bulgarien,24
Dänemark u. Färöer,1
Estland,2
Frankreich,6
Kroatien,21
Slowenien,1
Griechenland,18
Irland,1
Italien,19
Lettland,8
Montenegro,979
Litauen,4
Mazedonien,6705
Moldau (Republik),1264
Niederlande,9
Norwegen,0
Kosovo,4831
Österreich,1
Polen,23
Portugal,7
Rumänien,34
Slowakische Republik,2
Schweden,2
Schweiz,1
Russische Föderation,16548
Spanien,34
Türkei,11712
Tschechische Republik,8
Ungarn,6
Ukraine,5644
Großbritannien mit Nordirland,11
Weißrussland,731
Serbien,7554
Britisch abh.Geb.Europa,1
sonst. europ. Staatsangeh.,4
Algerien,3591
Angola,389
Eritrea,20955
Äthiopien,8597
Botsuana,4
Benin,607
Dschibuti,36
Elfenbeinküste (Cote d Ivoire),2501
Nigeria,22110
Simbabwe,344
Gabun,28
Gambia,8965
Ghana,3453
Mauretanien,151
Cabo Verde,1
Kenia,377
Komoren,9
Kongo,162
"Kongo, Dem. Republik",983
Liberia,237
Libyen,1813
Madagaskar,6
Mali,1835
Marokko,3697
Mauritius,5
Mosambik,7
Niger,299
Malawi,3
Sambia,7
Burkina-Faso,489
Guinea-Bissau,630
Guinea,7221
Kamerun,2658
Südafrika,22
Ruanda,47
Namibia,2
Sao Tome  und Principe,1
Senegal,1571
Sierra Leone,1873
Somalia,17887
Äquatorialguinea,21
Sudan (ohne Südsudan),3326
Südsudan,100
Tansania,173
Togo,742
Tschad,288
Tunesien,992
Uganda,318
Ägypten,2723
Zentralafrikanische Republik,104
Burundi,43
sonst. afrik. Staatsangeh.,337
Argentinien,3
Brasilien,33
Chile,3
Costa Rica,2
Dominikanische Republik,9
Ecuador,1
El Salvador,41
Guatemala,9
Haiti,9
Honduras,28
Kanada,5
Kolumbien,69
Kuba,227
Mexico,10
Nicaragua,3
Jamaica,135
Paraguay,2
Peru,12
Suriname,2
Uruguay,1
Venezuela,209
Vereinigte Staaten v. Amerika,26
Trinidad und Tobago,2
China (Hongkong),1
Jemen,1022
Armenien,9523
Afghanistan,112109
Bahrain,27
Aserbaidschan,6896
Bhutan,4
Myanmar,255
Georgien,5905
Sri Lanka,1286
Vietnam,907
Korea (Demokrat. Volksrepubl.),79
Indien,3620
Indonesien,12
Irak,69487
"Iran, Islamische Republik",29432
Israel,39
Japan,1
Kasachstan,286
Jordanien,487
Kambodscha,20
Katar,0
Kuwait,51
"Laos, Demokratische Volksrepublik",0
Kirgisistan,212
Libanon,4287
Oman,12
Mongolei,1263
Nepal,125
Staatsangehörigkeit ohne Bezeichnung,373
Bangladesch,3136
Pakistan,19915
Philippinen,33
China (Taiwan),7
Korea (Republik),20
Vereinigte arabische Emirate,12
Tadschikistan,2604
Turkmenistan,240
Saudi Arabien,62
"Syrien, Arabische Republik",95642
Thailand,9
Usbekistan,97
China,1891
Malaysia,17
sonst. asiat. Staatsangeh.,1671
Australien,2
Staatenlos,3634
Ungeklärt,10699
ohne Angabe,78
