YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,253,16222,13016,4010,24996,12253
2017-02,300,14846,13264,4527,26146,12416
2017-03,303,16350,14870,5519,30201,13352
2017-04,306,12824,10876,4816,24982,9616
2017-05,653,16014,12634,6642,39849,11857
2017-06,363,6910,5330,1781,13876,7756
2017-07,454,7088,6066,1058,13070,9165
2017-08,397,7106,5665,1889,13405,8752
2017-09,298,6058,4474,3126,12824,8347
2017-10,338,5945,4111,2505,12117,7989
2017-11,403,6061,4398,2300,12177,8433
2017-12,295,4136,3452,1525,9236,6770
2018-01,422,4296,3383,1763,11433,7876
2018-02,380,2955,2385,1128,7882,6571
2018-03,270,3105,2405,1156,8098,7680
2018-04,244,3037,2466,916,6759,6776
2018-05,195,2651,1869,700,5768,5986
2018-06,163,1691,1570,487,5227,5654
2018-07,118,1962,1449,476,4401,5338
2018-08,193,3245,1956,571,5042,5616
2018-09,184,3614,1852,575,4939,4844
2018-10,242,4476,2130,664,5751,5211
2018-11,261,4489,2056,620,6074,5144
2018-12,178,2976,1501,463,4029,4148
2019-01,235,4204,2390,651,6486,5955
2019-02,234,4000,2268,585,6352,6384
2019-03,231,5140,1730,802,5701,5983
2019-04,196,3630,801,609,4709,5256
2019-05,151,3428,689,497,4652,5918
2019-06,134,2921,1382,358,3526,4627
2019-07,188,3862,2604,420,4295,5445
2019-08,195,3293,1770,412,4076,5294
