Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Albanien,121,"",54762,53805,957,35721,0,7,33,36,31150,4495,23929,624,0,7,33,35,31086,4074,0,0,0,1,64,340,81
Bosnien und Herzegowina,122,"",7473,4634,2839,6500,0,1,0,12,3339,3148,3275,1483,0,1,0,10,3081,809,0,0,0,2,258,1862,477
Belgien,124,"",3,3,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bulgarien,125,"",17,17,0,28,0,0,0,0,15,13,12,4,0,0,0,0,15,13,0,0,0,0,0,0,0
Estland,127,"",0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Frankreich,129,"",3,3,0,4,0,0,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Kroatien,130,"",20,16,4,22,0,0,0,0,14,8,13,12,0,0,0,0,10,4,0,0,0,0,4,0,4
Slowenien,131,"",1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Griechenland,134,"",13,12,1,5,0,0,0,0,3,2,13,1,0,0,0,0,3,2,0,0,0,0,0,0,0
Italien,137,"",11,11,0,6,0,0,0,0,4,2,21,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Lettland,139,"",2,1,1,2,0,0,0,0,1,1,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Montenegro,140,"",3635,3233,402,2297,0,0,3,4,1855,435,1681,247,0,0,3,3,1775,188,0,0,0,1,80,215,32
Litauen,142,"",1,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mazedonien,144,"",14131,9083,5048,8245,0,23,1,20,5583,2618,6180,4091,0,22,1,10,4967,671,0,1,0,10,616,1507,440
Moldau (Republik),146,"",1567,1561,6,44,0,2,0,1,24,17,1803,17,0,2,0,1,24,16,0,0,0,0,0,0,1
Niederlande,148,"",2,2,0,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Kosovo,150,"",37095,33427,3668,29801,0,13,22,97,26139,3530,11997,2338,0,13,21,81,24515,2171,0,0,1,16,1624,990,369
