YEAR_MONTH,Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
201501,Albanien,121,"",1648,1598,50,290,0,0,0,0,207,83,6799,183,0,0,0,0,206,72,0,0,0,0,1,9,2
201501,Bosnien und Herzegowina,122,"",703,441,262,934,0,0,0,2,587,345,2386,1254,0,0,0,2,542,50,0,0,0,0,45,270,25
201501,Belgien,124,"",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201501,Bulgarien,125,"",0,0,0,7,0,0,0,0,7,0,7,3,0,0,0,0,7,0,0,0,0,0,0,0,0
201501,Estland,127,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Frankreich,129,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Kroatien,130,"",1,1,0,1,0,0,0,0,1,0,10,16,0,0,0,0,1,0,0,0,0,0,0,0,0
201501,Slowenien,131,"",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Griechenland,134,"",1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Italien,137,"",1,1,0,1,0,0,0,0,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201501,Lettland,139,"",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Montenegro,140,"",109,84,25,70,0,0,0,0,60,10,449,188,0,0,0,0,55,4,0,0,0,0,5,3,3
201501,Litauen,142,"",0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201501,Mazedonien,144,"",919,540,379,980,0,2,0,4,650,324,2682,1608,0,2,0,1,551,50,0,0,0,3,99,230,44
201501,Moldau (Republik),146,"",47,46,1,3,0,0,0,0,2,1,333,12,0,0,0,0,2,1,0,0,0,0,0,0,0
201501,Niederlande,148,"",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,Kosovo,150,"",3630,3034,596,638,0,0,0,2,246,390,8094,2135,0,0,0,2,231,303,0,0,0,0,15,47,40
