Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Albanien,121,"",1.648,1.598,50,290,-,-,-,-,207,83,6.799,183,-,-,-,-,206,72,-,-,-,-,1,9,2
Bosnien und Herzegowina,122,"",703,441,262,934,-,-,-,2,587,345,2.386,1.254,-,-,-,2,542,50,-,-,-,-,45,270,25
Belgien,124,"",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Bulgarien,125,"",-,-,-,7,-,-,-,-,7,-,7,3,-,-,-,-,7,-,-,-,-,-,-,-,-
Estland,127,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,"",1,1,-,1,-,-,-,-,1,-,10,16,-,-,-,-,1,-,-,-,-,-,-,-,-
Slowenien,131,"",-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,"",1,1,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,"",1,1,-,1,-,-,-,-,-,1,16,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Lettland,139,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,"",109,84,25,70,-,-,-,-,60,10,449,188,-,-,-,-,55,4,-,-,-,-,5,3,3
Litauen,142,"",-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Mazedonien,144,"",919,540,379,980,-,2,-,4,650,324,2.682,1.608,-,2,-,1,551,50,-,-,-,3,99,230,44
Moldau (Republik),146,"",47,46,1,3,-,-,-,-,2,1,333,12,-,-,-,-,2,1,-,-,-,-,-,-,-
Niederlande,148,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
