YEAR_MONTH,Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
201507,Albanien,121,"",7633,7547,86,4740,0,0,2,5,4462,271,25162,480,0,0,2,4,4461,241,0,0,0,1,1,25,5
201507,Bosnien und Herzegowina,122,"",786,498,288,455,0,0,0,1,185,269,3284,1274,0,0,0,1,163,87,0,0,0,0,22,141,41
201507,Belgien,124,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Bulgarien,125,"",0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Estland,127,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Kroatien,130,"",1,0,1,2,0,0,0,0,2,0,15,15,0,0,0,0,2,0,0,0,0,0,0,0,0
201507,Slowenien,131,"",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Griechenland,134,"",1,1,0,1,0,0,0,0,0,1,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0
201507,Italien,137,"",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Lettland,139,"",1,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Montenegro,140,"",680,614,66,207,0,0,0,1,126,80,2146,240,0,0,0,1,116,28,0,0,0,0,10,46,6
201507,Litauen,142,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Mazedonien,144,"",1961,1285,676,855,0,0,0,0,579,276,5013,3079,0,0,0,0,506,47,0,0,0,0,73,192,37
201507,Moldau (Republik),146,"",156,156,0,2,0,0,0,0,0,2,1075,13,0,0,0,0,0,2,0,0,0,0,0,0,0
201507,Niederlande,148,"",1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Kosovo,150,"",1395,1205,190,2097,0,1,0,13,1810,273,12886,2220,0,1,0,10,1664,170,0,0,0,3,146,79,24
201507,Polen,152,"",1,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Portugal,153,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Rumänien,154,"",0,0,0,2,0,0,0,0,0,2,7,3,0,0,0,0,0,1,0,0,0,0,0,1,0
201507,Slowakische Republik,155,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Schweden,157,"",1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Schweiz,158,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Russische Föderation,160,"",510,413,97,454,0,19,16,8,80,331,5931,1088,0,19,10,6,55,239,0,0,6,2,25,8,84
201507,Spanien,161,"",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Türkei,163,"",111,89,22,84,0,6,0,0,18,60,2717,393,0,4,0,0,18,53,0,2,0,0,0,4,3
201507,Tschechische Republik,164,"",0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Ungarn,165,"",0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0
201507,Ukraine,166,"",386,379,7,90,0,3,0,0,2,85,4863,89,0,3,0,0,2,83,0,0,0,0,0,0,2
201507,Weißrußland,169,"",12,9,3,2,0,0,0,0,0,2,230,23,0,0,0,0,0,2,0,0,0,0,0,0,0
201507,Serbien,170,"",2377,1449,928,1870,0,0,0,5,1087,778,9994,5430,0,0,0,5,969,172,0,0,0,0,118,480,126
201507,sonst. europ. Staatsangeh.,199,"",1,1,0,6,0,0,0,0,5,1,6,0,0,0,0,0,5,0,0,0,0,0,0,1,0
201507,Algerien,221,"",140,120,20,117,0,0,2,1,25,89,2820,204,0,0,2,1,25,78,0,0,0,0,0,4,7
201507,Angola,223,"",3,3,0,19,2,0,0,8,3,6,161,8,2,0,0,8,3,6,0,0,0,0,0,0,0
201507,Eritrea,224,"",1219,1209,10,567,2,492,10,6,5,52,17420,129,2,492,10,2,5,47,0,0,0,4,0,0,5
201507,Äthiopien,225,"",232,230,2,31,0,4,0,3,8,16,2444,70,0,4,0,3,7,11,0,0,0,0,1,5,0
201507,Botsuana,227,"",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Benin,229,"",44,42,2,14,0,0,0,0,0,14,412,9,0,0,0,0,0,13,0,0,0,0,0,0,1
201507,Dschibuti,230,"",2,2,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Elfenbeinküste (Cote d Ivoire),231,"",55,55,0,38,0,2,0,0,1,35,313,22,0,2,0,0,1,34,0,0,0,0,0,0,1
201507,Nigeria,232,"",564,558,6,88,3,1,0,3,25,56,7472,184,3,1,0,2,24,54,0,0,0,1,1,1,1
201507,Simbabwe,233,"",0,0,0,9,1,0,2,0,5,1,23,0,1,0,2,0,5,1,0,0,0,0,0,0,0
201507,Gabun,236,"",1,1,0,3,0,0,0,0,2,1,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0
201507,Gambia,237,"",183,176,7,55,0,0,0,0,4,51,2946,96,0,0,0,0,3,50,0,0,0,0,1,0,1
201507,Ghana,238,"",119,112,7,44,0,2,0,0,15,27,1564,49,0,2,0,0,15,24,0,0,0,0,0,2,1
201507,Mauretanien,239,"",15,15,0,2,0,0,0,0,2,0,84,3,0,0,0,0,2,0,0,0,0,0,0,0,0
201507,Kenia,243,"",17,17,0,29,0,0,0,0,26,3,150,8,0,0,0,0,26,3,0,0,0,0,0,0,0
201507,Komoren,244,"",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Kongo,245,"",4,4,0,1,0,0,0,0,1,0,113,5,0,0,0,0,1,0,0,0,0,0,0,0,0
201507,"Kongo, Dem. Republik",246,"",8,8,0,23,0,0,0,2,18,3,466,30,0,0,0,2,17,2,0,0,0,0,1,1,0
201507,Liberia,247,"",2,0,2,6,0,0,0,0,1,5,79,11,0,0,0,0,1,5,0,0,0,0,0,0,0
201507,Libyen,248,"",109,109,0,39,4,3,0,1,1,30,1215,36,4,3,0,1,1,30,0,0,0,0,0,0,0
201507,Mali,251,"",69,66,3,18,0,2,0,0,1,15,738,22,0,2,0,0,1,14,0,0,0,0,0,1,0
201507,Marokko,252,"",95,84,11,73,0,1,0,0,29,43,1851,98,0,1,0,0,27,41,0,0,0,0,2,1,1
201507,Mosambik,254,"",1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Niger,255,"",22,17,5,19,0,0,0,3,1,15,125,18,0,0,0,2,1,14,0,0,0,1,0,0,1
201507,Malawi,256,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Sambia,257,"",0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
201507,Burkina-Faso,258,"",23,18,5,11,0,0,0,0,0,11,197,12,0,0,0,0,0,8,0,0,0,0,0,0,3
201507,Guinea-Bissau,259,"",38,37,1,26,0,0,0,0,1,25,355,12,0,0,0,0,1,25,0,0,0,0,0,0,0
201507,Guinea,261,"",51,47,4,45,0,5,0,5,17,18,2126,82,0,5,0,5,17,16,0,0,0,0,0,0,2
201507,Kamerun,262,"",105,103,2,44,0,0,0,1,16,27,831,41,0,0,0,1,16,25,0,0,0,0,0,0,2
201507,Südafrika,263,"",2,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Ruanda,265,"",2,1,1,1,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201507,Namibia,267,"",0,0,0,3,0,0,0,0,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
201507,Senegal,269,"",144,144,0,10,0,0,0,2,0,8,1881,17,0,0,0,0,0,8,0,0,0,2,0,0,0
201507,Sierra Leone,272,"",31,31,0,2,0,0,0,0,0,2,516,38,0,0,0,0,0,2,0,0,0,0,0,0,0
