Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
Albanien,121,17236,14853,2383,37673,1,17,73,78,30020,7484,3575,646,1,17,65,74,29681,5400,0,0,8,4,339,1883,201
Bosnien und Herzegowina,122,3109,1914,1195,6885,0,3,9,38,4020,2815,580,351,0,3,9,32,3659,885,0,0,0,6,361,1497,433
Andorra,123,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgien,124,1,0,1,3,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Bulgarien,125,12,11,1,23,0,0,0,0,16,7,12,1,0,0,0,0,16,1,0,0,0,0,0,2,4
Estland,127,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Frankreich,129,2,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kroatien,130,8,7,1,25,0,0,1,0,6,18,10,3,0,0,1,0,6,7,0,0,0,0,0,3,8
Slowenien,131,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Griechenland,134,7,7,0,8,0,0,0,0,3,5,14,1,0,0,0,0,3,3,0,0,0,0,0,0,2
Italien,137,14,14,0,18,0,0,0,0,11,7,21,0,0,0,0,0,11,7,0,0,0,0,0,0,0
Lettland,139,4,4,0,7,0,0,0,0,3,4,3,1,0,0,0,0,3,4,0,0,0,0,0,0,0
Montenegro,140,1630,1381,249,3219,1,0,3,13,2576,626,278,74,1,0,3,10,2439,338,0,0,0,3,137,262,26
Litauen,142,1,0,1,4,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Mazedonien,144,7015,4835,2180,14712,0,4,7,36,9176,5489,1666,981,0,4,4,31,7815,1571,0,0,3,5,1361,3030,888
Moldau (Republik),146,3408,3346,62,4797,0,12,5,7,2835,1938,386,5,0,11,5,7,2826,1876,0,1,0,0,9,55,7
Niederlande,148,1,1,0,2,0,0,0,0,1,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Norwegen,149,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kosovo,150,6490,4978,1512,18920,1,5,8,131,14826,3949,1906,581,1,5,5,103,13437,1965,0,0,3,28,1389,1567,417
Polen,152,4,4,0,18,0,0,0,0,10,8,14,0,0,0,0,0,10,8,0,0,0,0,0,0,0
Portugal,153,1,1,0,8,0,0,0,0,4,4,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0
Rumänien,154,13,12,1,12,0,0,0,1,2,9,12,3,0,0,0,1,2,6,0,0,0,0,0,1,2
Slowakische Republik,155,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Schweiz,158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Russische Föderation,160,12234,10985,1249,12799,21,336,127,177,5712,6426,8058,1224,21,304,116,132,5459,5034,0,32,11,45,253,432,960
