YEAR_MONTH,Herkunftsland,LS,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstantraege,ASYLANTRÄGE davon Folgeantraege,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Albanien,121,1308,1202,106,5693,0,2,8,5,4838,840,19541,680,0,2,3,5,4809,776,0,0,5,0,29,64,0
2016-01,Bosnien und Herzegowina,122,301,203,98,921,0,0,0,6,559,356,2849,1302,0,0,0,5,524,130,0,0,0,1,35,151,75
2016-01,Belgien,124,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Bulgarien,125,0,0,0,8,0,0,0,0,8,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0
2016-01,Estland,127,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-01,Frankreich,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kroatien,130,0,0,0,2,0,0,0,0,0,2,11,12,0,0,0,0,0,2,0,0,0,0,0,0,0
2016-01,Slowenien,131,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Griechenland,134,1,1,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Italien,137,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Lettland,139,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Montenegro,140,145,133,12,696,0,0,0,0,619,77,1152,226,0,0,0,0,604,52,0,0,0,0,15,25,0
2016-01,Litauen,142,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Mazedonien,144,366,236,130,1521,0,0,0,5,1217,299,5241,3922,0,0,0,0,1123,133,0,0,0,5,94,118,48
2016-01,Moldau (Republik),146,216,216,0,1,0,1,0,0,0,0,2017,17,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01,Niederlande,148,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kosovo,150,551,427,124,2337,0,0,0,3,2045,289,10412,2252,0,0,0,3,1910,217,0,0,0,0,135,40,32
2016-01,Polen,152,0,0,0,1,0,0,0,0,0,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-01,Portugal,153,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Rumaenien,154,1,0,1,2,0,0,0,0,0,2,8,3,0,0,0,0,0,1,0,0,0,0,0,1,0
2016-01,Slowakische Republik,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Schweden,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Schweiz,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Russische Foederation,160,307,240,67,411,0,11,1,9,162,228,6833,1196,0,10,1,8,151,176,0,1,0,1,11,24,28
2016-01,Spanien,161,0,0,0,2,0,0,0,0,2,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-01,Tuerkei,163,119,94,25,107,2,4,1,2,54,44,3047,451,2,4,1,2,49,32,0,0,0,0,5,7,5
2016-01,Tschechische Republik,164,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Ungarn,165,2,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Ukraine,166,225,221,4,60,0,2,0,1,6,51,6188,121,0,2,0,1,6,51,0,0,0,0,0,0,0
2016-01,Grossbritannien mit Nordirland,168,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Weissrussland,169,19,17,2,6,0,0,0,0,0,6,330,34,0,0,0,0,0,5,0,0,0,0,0,0,1
2016-01,Serbien,170,910,473,437,2976,0,0,0,3,2203,770,8625,6622,0,0,0,3,2053,197,0,0,0,0,150,454,119
2016-01,Zypern,181,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-01,sonst. europ. Staatsangeh.,199,2,0,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Algerien,221,179,162,17,86,0,0,0,0,59,27,3206,240,0,0,0,0,56,23,0,0,0,0,3,2,2
2016-01,Angola,223,0,0,0,13,0,0,0,2,3,8,152,5,0,0,0,2,2,8,0,0,0,0,1,0,0
2016-01,Eritrea,224,637,627,10,1934,22,1857,10,1,6,38,14673,159,22,1846,10,1,6,35,0,11,0,0,0,0,3
2016-01,Aethiopien,225,113,111,2,42,0,5,0,3,13,21,3500,71,0,5,0,3,13,19,0,0,0,0,0,0,2
2016-01,Botsuana,227,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Benin,229,21,21,0,5,0,0,0,0,3,2,512,15,0,0,0,0,3,2,0,0,0,0,0,0,0
2016-01,Dschibuti,230,1,1,0,1,0,0,0,0,0,1,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-01,Elfenbeinkueste (Cote d Ivoire),231,42,42,0,31,0,1,0,0,3,27,425,21,0,1,0,0,3,26,0,0,0,0,0,0,1
2016-01,Nigeria,232,113,103,10,194,0,0,6,7,81,100,8889,201,0,0,5,6,76,96,0,0,1,1,5,1,3
2016-01,Simbabwe,233,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Gabun,236,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-01,Gambia,237,97,91,6,62,2,0,0,1,10,49,4452,137,2,0,0,1,10,43,0,0,0,0,0,1,5
2016-01,Ghana,238,54,53,1,48,0,0,0,1,32,15,1772,54,0,0,0,1,32,14,0,0,0,0,0,0,1
2016-01,Mauretanien,239,13,12,1,4,0,0,0,0,1,3,111,6,0,0,0,0,1,3,0,0,0,0,0,0,0
2016-01,Cabo Verde,242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kenia,243,1,0,1,11,0,0,0,0,8,3,140,12,0,0,0,0,8,3,0,0,0,0,0,0,0
2016-01,Komoren,244,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kongo,245,2,2,0,3,0,0,0,0,1,2,104,6,0,0,0,0,1,2,0,0,0,0,0,0,0
2016-01,"Kongo, Dem. Republik",246,2,2,0,19,0,1,1,0,15,2,434,35,0,1,1,0,15,2,0,0,0,0,0,0,0
2016-01,Liberia,247,4,3,1,4,0,1,0,0,0,3,97,9,0,1,0,0,0,3,0,0,0,0,0,0,0
2016-01,Libyen,248,49,49,0,19,1,3,0,1,7,7,1497,38,1,3,0,1,6,7,0,0,0,0,1,0,0
2016-01,Mali,251,16,13,3,36,0,0,1,0,6,29,783,26,0,0,1,0,5,29,0,0,0,0,1,0,0
2016-01,Marokko,252,225,211,14,70,0,2,0,1,34,33,2364,106,0,2,0,1,34,29,0,0,0,0,0,0,4
2016-01,Mauritius,253,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Mosambik,254,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Niger,255,6,5,1,7,0,0,0,1,1,5,158,19,0,0,0,1,0,5,0,0,0,0,1,0,0
2016-01,Malawi,256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Sambia,257,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
