YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,AASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN über AAsylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber AAsylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von EErstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber EErstantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber EErstantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber ErsErstantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber EErstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber EErstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber FFolgeantraege Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN übueber FFolgeantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber FFolgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber FFolgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber FFolgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-05,Albanien,121,1095,943,152,2766,0,0,5,3,2121,637,9499,546,0,0,5,3,2100,513,0,0,0,0,21,117,7
2016-05,Bosnien und Herzegowina,122,158,97,61,619,0,0,0,5,322,292,1254,557,0,0,0,5,282,115,0,0,0,0,40,160,17
2016-05,Belgien,124,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Bulgarien,125,0,0,0,1,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05,Estland,127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Frankreich,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kroatien,130,1,1,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Slowenien,131,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Griechenland,134,2,2,0,1,0,0,0,0,0,1,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05,Italien,137,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Jugoslawien (SFRJ),138,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Lettland,139,1,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Montenegro,140,152,133,19,219,0,0,3,2,156,58,570,104,0,0,3,1,144,16,0,0,0,1,12,38,4
2016-05,Litauen,142,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Mazedonien,144,439,329,110,1226,0,0,0,2,670,554,3058,2218,0,0,0,2,517,141,0,0,0,0,153,332,81
2016-05,Moldau (Republik),146,69,68,1,261,0,0,0,0,192,69,2553,14,0,0,0,0,192,67,0,0,0,0,0,1,1
2016-05,Niederlande,148,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kosovo,150,547,434,113,1856,1,0,0,11,1449,395,5027,1244,1,0,0,3,1308,195,0,0,0,8,141,159,41
2016-05,Polen,152,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Portugal,153,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Rumaenien,154,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Slowakische Republik,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Schweden,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Schweiz,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Russische Foederation,160,1151,1072,79,674,1,10,3,6,149,505,8268,1314,1,10,3,6,147,464,0,0,0,0,2,2,39
2016-05,Spanien,161,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05,Tuerkei,163,330,312,18,65,0,2,0,0,23,40,3857,529,0,2,0,0,22,33,0,0,0,0,1,2,5
2016-05,Tschechische Republik,164,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Ungarn,165,3,3,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Ukraine,166,116,112,4,391,0,3,5,4,178,201,6178,139,0,3,5,4,178,195,0,0,0,0,0,0,6
2016-05,Grossbritannien mit Nordirland,168,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Weissrussland,169,12,11,1,9,0,0,0,0,1,8,331,27,0,0,0,0,1,6,0,0,0,0,0,1,1
2016-05,Serbien,170,524,327,197,1973,0,0,0,2,970,1001,4217,2952,0,0,0,1,781,223,0,0,0,1,189,664,114
2016-05,sonst. europ. Staatsangeh.,199,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Algerien,221,200,191,9,534,1,5,5,4,268,251,1399,145,1,5,5,4,260,233,0,0,0,0,8,10,8
2016-05,Angola,223,12,12,0,6,0,0,0,0,6,0,172,5,0,0,0,0,6,0,0,0,0,0,0,0,0
2016-05,Eritrea,224,1066,1057,9,1436,7,1241,91,5,4,88,12633,152,7,1235,91,4,4,77,0,6,0,1,0,3,8
2016-05,Aethiopien,225,127,124,3,107,0,15,1,6,78,7,3771,78,0,15,1,5,78,5,0,0,0,1,0,1,1
2016-05,Botsuana,227,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Benin,229,4,4,0,12,0,0,0,0,9,3,493,14,0,0,0,0,8,3,0,0,0,0,1,0,0
2016-05,Dschibuti,230,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Elfenbeinkueste (Cote d Ivoire),231,42,41,1,15,0,0,0,0,4,11,505,26,0,0,0,0,4,8,0,0,0,0,0,0,3
2016-05,Nigeria,232,947,944,3,77,1,0,0,4,24,48,11197,205,1,0,0,4,24,46,0,0,0,0,0,0,2
2016-05,Simbabwe,233,0,0,0,3,0,0,0,0,1,2,19,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2016-05,Gabun,236,2,2,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Gambia,237,449,432,17,39,0,0,2,1,9,27,5739,160,0,0,2,1,9,21,0,0,0,0,0,1,5
2016-05,Ghana,238,94,89,5,68,0,0,0,1,44,23,1797,57,0,0,0,1,44,19,0,0,0,0,0,2,2
2016-05,Mauretanien,239,11,9,2,9,0,0,0,0,0,9,143,10,0,0,0,0,0,9,0,0,0,0,0,0,0
2016-05,Cabo Verde,242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kenia,243,12,11,1,5,0,0,0,0,0,5,167,15,0,0,0,0,0,5,0,0,0,0,0,0,0
2016-05,Komoren,244,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kongo,245,15,15,0,0,0,0,0,0,0,0,124,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,"Kongo, Dem. Republik",246,22,18,4,10,0,1,0,1,8,0,448,43,0,1,0,1,8,0,0,0,0,0,0,0,0
2016-05,Liberia,247,15,14,1,6,0,0,0,0,2,4,111,12,0,0,0,0,2,4,0,0,0,0,0,0,0
2016-05,Libyen,248,54,51,3,25,5,2,0,4,4,10,1672,40,5,2,0,4,4,8,0,0,0,0,0,0,2
2016-05,Mali,251,88,86,2,14,0,0,0,0,4,10,946,31,0,0,0,0,4,9,0,0,0,0,0,0,1
2016-05,Marokko,252,247,230,17,319,1,11,1,2,178,126,1325,83,1,10,1,2,178,119,0,1,0,0,0,3,4
2016-05,Mauritius,253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Mosambik,254,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Niger,255,8,6,2,11,0,0,0,0,6,5,146,13,0,0,0,0,5,3,0,0,0,0,1,0,2
2016-05,Malawi,256,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Sambia,257,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Burkina-Faso,258,1,1,0,17,0,0,0,0,14,3,208,13,0,0,0,0,14,2,0,0,0,0,0,0,1
2016-05,Guinea-Bissau,259,9,7,2,29,0,0,0,2,11,16,333,18,0,0,0,2,11,9,0,0,0,0,0,1,6
2016-05,Guinea,261,131,123,8,24,0,3,0,2,10,9,2472,126,0,3,0,1,10,5,0,0,0,1,0,0,4
2016-05,Kamerun,262,98,97,1,24,0,0,0,0,6,18,1485,62,0,0,0,0,6,14,0,0,0,0,0,3,1
2016-05,Suedafrika,263,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Ruanda,265,12,12,0,1,0,0,0,0,0,1,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05,Namibia,267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Senegal,269,58,53,5,148,0,1,3,2,117,25,1425,30,0,1,3,2,117,24,0,0,0,0,0,0,1
2016-05,Sierra Leone,272,45,45,0,4,0,0,0,0,0,4,682,44,0,0,0,0,0,4,0,0,0,0,0,0,0
2016-05,Somalia,273,516,501,15,230,0,77,39,45,13,56,10492,391,0,76,37,41,13,43,0,1,2,4,0,1,12
2016-05,Aequatorialguinea,274,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Sudan (ohne Suedsudan),277,139,136,3,37,0,9,6,0,3,19,1706,38,0,9,6,0,3,18,0,0,0,0,0,0,1
2016-05,Suedsudan,278,7,6,1,0,0,0,0,0,0,0,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Tansania,282,2,2,0,0,0,0,0,0,0,0,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Togo,283,32,30,2,4,0,0,0,0,1,3,475,28,0,0,0,0,1,2,0,0,0,0,0,0,1
2016-05,Tschad,284,19,18,1,7,0,4,0,0,0,3,169,16,0,4,0,0,0,3,0,0,0,0,0,0,0
2016-05,Tunesien,285,63,62,1,154,0,0,0,0,93,61,392,55,0,0,0,0,89,50,0,0,0,0,4,3,8
2016-05,Uganda,286,7,7,0,4,0,0,0,1,0,3,195,7,0,0,0,1,0,3,0,0,0,0,0,0,0
2016-05,Aegypten,287,128,124,4,91,0,5,1,0,59,26,2724,93,0,5,1,0,59,25,0,0,0,0,0,1,0
2016-05,Zentralafrikanische Republik,289,0,0,0,0,0,0,0,0,0,0,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Burundi,291,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-05,sonst. afrik. Staatsangeh.,299,7,7,0,13,0,0,0,0,9,4,118,13,0,0,0,0,9,3,0,0,0,0,0,0,1
2016-05,Argentinien,323,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Bolivien,326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Brasilien,327,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Belize,330,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Dominikanische Republik,335,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Ecuador,336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,El Salvador,337,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Guatemala,345,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Haiti,346,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Honduras,347,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kanada,348,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kolumbien,349,6,6,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Kuba,351,5,5,0,2,0,0,0,0,0,2,137,3,0,0,0,0,0,2,0,0,0,0,0,0,0
2016-05,Mexico,353,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Nicaragua,354,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Jamaica,355,0,0,0,1,0,0,0,0,0,1,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05,Paraguay,359,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Peru,361,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Venezuela,367,3,3,0,2,0,0,0,0,2,0,36,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-05,Vereinigte Staaten v. Amerika,368,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Britisch abh.Geb.Amerika,395,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Jemen,421,50,50,0,9,0,0,3,0,0,6,575,29,0,0,1,0,0,6,0,0,2,0,0,0,0
2016-05,Armenien,422,245,231,14,50,0,0,1,0,26,23,4589,336,0,0,1,0,22,10,0,0,0,0,4,3,10
2016-05,Afghanistan,423,9124,9091,33,1428,9,349,142,117,591,220,78745,912,9,340,142,114,590,195,0,9,0,3,1,18,7
2016-05,Bahrain,424,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Aserbaidschan,425,166,158,8,66,0,4,0,0,38,24,3091,321,0,4,0,0,37,15,0,0,0,0,1,8,1
2016-05,Bhutan,426,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,Myanmar,427,10,10,0,1,0,0,0,0,1,0,187,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-05,Georgien,430,211,192,19,330,1,0,0,0,169,160,3187,402,1,0,0,0,165,119,0,0,0,0,4,7,34
2016-05,Sri Lanka,431,23,22,1,19,1,1,2,0,7,8,924,181,1,1,2,0,7,1,0,0,0,0,0,6,1
2016-05,Vietnam,432,48,46,2,29,0,1,0,0,8,20,1010,63,0,1,0,0,8,15,0,0,0,0,0,2,3
