Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,AASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN über AAsylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber AAsylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von EErstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber EErstantraege Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber EErstantraege Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN ueber ErsErstantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber EErstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber EErstantraege formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber FFolgeantraege Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN ueber FFolgeantraege Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN übueber FFolgeantraege Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber FFolgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber FFolgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber FFolgeantraege formelle Verfahrenserledigungen (z.B. Rücknahmen)

Albanien,121,"",1095,943,152,2766,0,0,5,3,2121,637,9499,546,0,0,5,3,2100,513,0,0,0,0,21,117,7
Bosnien und Herzegowina,122,"",158,97,61,619,0,0,0,5,322,292,1254,557,0,0,0,5,282,115,0,0,0,0,40,160,17
Belgien,124,"",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgarien,125,"",0,0,0,1,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Estland,127,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankreich,129,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroatien,130,"",1,1,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Slowenien,131,"",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Griechenland,134,"",2,2,0,1,0,0,0,0,0,1,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Italien,137,"",0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jugoslawien (SFRJ),138,"",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lettland,139,"",1,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,140,"",152,133,19,219,0,0,3,2,156,58,570,104,0,0,3,1,144,16,0,0,0,1,12,38,4
Litauen,142,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazedonien,144,"",439,329,110,1226,0,0,0,2,670,554,3058,2218,0,0,0,2,517,141,0,0,0,0,153,332,81
Moldau (Republik),146,"",69,68,1,261,0,0,0,0,192,69,2553,14,0,0,0,0,192,67,0,0,0,0,0,1,1
Niederlande,148,"",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,150,"",547,434,113,1856,1,0,0,11,1449,395,5027,1244,1,0,0,3,1308,195,0,0,0,8,141,159,41
Polen,152,"",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,153,"",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumänien,154,"",0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Slowakische Republik,155,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schweden,157,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schweiz,158,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russische Föderation,160,"",1151,1072,79,674,1,10,3,6,149,505,8268,1314,1,10,3,6,147,464,0,0,0,0,2,2,39
Spanien,161,"",0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Türkei,163,"",330,312,18,65,0,2,0,0,23,40,3857,529,0,2,0,0,22,33,0,0,0,0,1,2,5
Tschechische Republik,164,"",0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ungarn,165,"",3,3,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,166,"",116,112,4,391,0,3,5,4,178,201,6178,139,0,3,5,4,178,195,0,0,0,0,0,0,6
Großbritannien mit Nordirland,168,"",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weißrussland,169,"",12,11,1,9,0,0,0,0,1,8,331,27,0,0,0,0,1,6,0,0,0,0,0,1,1
Serbien,170,"",524,327,197,1973,0,0,0,2,970,1001,4217,2952,0,0,0,1,781,223,0,0,0,1,189,664,114
sonst. europ. Staatsangeh.,199,"",0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Algerien,221,"",200,191,9,534,1,5,5,4,268,251,1399,145,1,5,5,4,260,233,0,0,0,0,8,10,8
Angola,223,"",12,12,0,6,0,0,0,0,6,0,172,5,0,0,0,0,6,0,0,0,0,0,0,0,0
Eritrea,224,"",1066,1057,9,1436,7,1241,91,5,4,88,12633,152,7,1235,91,4,4,77,0,6,0,1,0,3,8
Äthiopien,225,"",127,124,3,107,0,15,1,6,78,7,3771,78,0,15,1,5,78,5,0,0,0,1,0,1,1
Botsuana,227,"",0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,229,"",4,4,0,12,0,0,0,0,9,3,493,14,0,0,0,0,8,3,0,0,0,0,1,0,0
Dschibuti,230,"",1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Elfenbeinküste (Cote d Ivoire),231,"",42,41,1,15,0,0,0,0,4,11,505,26,0,0,0,0,4,8,0,0,0,0,0,0,3
Nigeria,232,"",947,944,3,77,1,0,0,4,24,48,11197,205,1,0,0,4,24,46,0,0,0,0,0,0,2
Simbabwe,233,"",0,0,0,3,0,0,0,0,1,2,19,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Gabun,236,"",2,2,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,237,"",449,432,17,39,0,0,2,1,9,27,5739,160,0,0,2,1,9,21,0,0,0,0,0,1,5
Ghana,238,"",94,89,5,68,0,0,0,1,44,23,1797,57,0,0,0,1,44,19,0,0,0,0,0,2,2
Mauretanien,239,"",11,9,2,9,0,0,0,0,0,9,143,10,0,0,0,0,0,9,0,0,0,0,0,0,0
Cabo Verde,242,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenia,243,"",12,11,1,5,0,0,0,0,0,5,167,15,0,0,0,0,0,5,0,0,0,0,0,0,0
Komoren,244,"",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kongo,245,"",15,15,0,0,0,0,0,0,0,0,124,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kongo, Dem. Republik",246,"",22,18,4,10,0,1,0,1,8,0,448,43,0,1,0,1,8,0,0,0,0,0,0,0,0
Liberia,247,"",15,14,1,6,0,0,0,0,2,4,111,12,0,0,0,0,2,4,0,0,0,0,0,0,0
Libyen,248,"",54,51,3,25,5,2,0,4,4,10,1672,40,5,2,0,4,4,8,0,0,0,0,0,0,2
Mali,251,"",88,86,2,14,0,0,0,0,4,10,946,31,0,0,0,0,4,9,0,0,0,0,0,0,1
Marokko,252,"",247,230,17,319,1,11,1,2,178,126,1325,83,1,10,1,2,178,119,0,1,0,0,0,3,4
Mauritius,253,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosambik,254,"",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,255,"",8,6,2,11,0,0,0,0,6,5,146,13,0,0,0,0,5,3,0,0,0,0,1,0,2
Malawi,256,"",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sambia,257,"",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
