YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201607,Albanien ,121 ,1599 ,1389 ,210 ,2775 ,0 ,5 ,9 ,3 ,2092 ,666 ,6377 ,509 ,0 ,5 ,9 ,3 ,2063 ,465 ,0 ,0 ,0 ,0 ,29 ,173 ,28
201607,Bosnien und Herzegowina ,122 ,205 ,119 ,86 ,528 ,0 ,0 ,0 ,3 ,358 ,167 ,770 ,399 ,0 ,0 ,0 ,3 ,329 ,40 ,0 ,0 ,0 ,0 ,29 ,90 ,37
201607,Andorra ,123 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Belgien ,124 ,1 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Bulgarien ,125 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,10 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Estland ,127 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Frankreich ,129 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Kroatien ,130 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Slowenien ,131 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Serbien und Montenegro ,132 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Griechenland ,134 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,14 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Italien ,137 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,0 ,24 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Jugoslawien (SFRJ) ,138 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Lettland ,139 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,7 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Montenegro ,140 ,89 ,72 ,17 ,236 ,0 ,0 ,0 ,1 ,193 ,42 ,405 ,93 ,0 ,0 ,0 ,0 ,188 ,24 ,0 ,0 ,0 ,1 ,5 ,16 ,2
201607,Litauen ,142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Mazedonien ,144 ,710 ,543 ,167 ,1112 ,0 ,0 ,0 ,4 ,707 ,401 ,2344 ,1342 ,0 ,0 ,0 ,4 ,599 ,107 ,0 ,0 ,0 ,0 ,108 ,219 ,75
201607,Moldau (Republik) ,146 ,192 ,191 ,1 ,827 ,0 ,2 ,2 ,0 ,348 ,475 ,1487 ,11 ,0 ,2 ,2 ,0 ,348 ,472 ,0 ,0 ,0 ,0 ,0 ,1 ,2
201607,Niederlande ,148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
201607,Kosovo ,150 ,684 ,550 ,134 ,1327 ,0 ,3 ,1 ,17 ,1053 ,253 ,3538 ,843 ,0 ,3 ,1 ,15 ,960 ,134 ,0 ,0 ,0 ,2 ,93 ,100 ,19
