YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201701,Albanien,121,5788,3577,2211,9548,0,11,33,89,6036,3379,391,173,0,10,33,79,5795,955,0,1,0,10,241,2191,233
201701,Bosnien und Herzegowina,122,1309,665,644,2159,0,1,5,24,1124,1005,82,31,0,1,4,15,988,194,0,0,1,9,136,698,113
201701,Belgien,124,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201701,Bulgarien,125,5,5,0,24,0,0,0,0,20,4,3,0,0,0,0,0,20,2,0,0,0,0,0,0,2
201701,Daenemark u. Faeroeer,126,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201701,Estland,127,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
201701,Frankreich,129,1,1,0,6,0,1,0,0,3,2,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0
201701,Kroatien,130,6,6,0,21,0,0,0,0,16,5,1,1,0,0,0,0,15,1,0,0,0,0,1,0,4
201701,Slowenien,131,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201701,Griechenland,134,4,4,0,18,0,1,0,0,4,13,2,0,0,1,0,0,4,12,0,0,0,0,0,1,0
201701,Irland,135,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201701,Italien,137,5,5,0,19,0,0,0,1,12,6,19,0,0,0,0,1,12,6,0,0,0,0,0,0,0
201701,Lettland,139,2,2,0,8,0,0,0,0,6,2,5,0,0,0,0,0,5,2,0,0,0,0,1,0,0
201701,Montenegro,140,663,322,341,979,0,2,4,3,555,415,22,24,0,2,1,1,513,77,0,0,3,2,42,318,20
201701,Litauen,142,3,2,1,4,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
201701,Mazedonien,144,4443,2317,2126,6705,0,6,12,32,3773,2882,247,175,0,6,11,20,3224,498,0,0,1,12,549,2053,331
201701,Moldau (Republik),146,919,786,133,1264,3,12,6,6,981,256,80,4,3,12,5,5,958,160,0,0,1,1,23,87,9
201701,Niederlande,148,4,4,0,9,0,2,0,0,4,3,5,0,0,2,0,0,3,3,0,0,0,0,1,0,0
