YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201711,Albanien,121,427,262,165,474,0,1,4,9,265,195,391,173,0,1,4,7,244,44,0,0,0,2,21,139,12
201711,Bosnien und Herzegowina,122,100,50,50,98,0,0,0,0,55,43,82,31,0,0,0,0,54,4,0,0,0,0,1,38,1
201711,Belgien,124,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Bulgarien,125,1,1,0,2,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
201711,Kroatien,130,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Slowenien,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Griechenland,134,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Irland,135,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Italien,137,3,3,0,1,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201711,Lettland,139,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Montenegro,140,53,23,30,85,0,0,0,0,50,35,22,24,0,0,0,0,36,2,0,0,0,0,14,33,0
201711,Mazedonien,144,346,172,174,402,0,0,0,3,219,180,247,175,0,0,0,0,176,11,0,0,0,3,43,153,16
201711,Moldau (Republik),146,129,112,17,78,0,0,1,1,71,5,80,4,0,0,0,1,70,1,0,0,1,0,1,3,1
201711,Niederlande,148,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Norwegen,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Kosovo,150,143,63,80,267,0,0,0,2,133,132,200,77,0,0,0,1,119,26,0,0,0,1,14,90,16
201711,Österreich,151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Polen,152,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Portugal,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Rumänien,154,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Slowakische Republik,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Russische Föderation,160,445,367,78,1215,30,44,31,53,599,458,1724,419,30,34,25,29,546,286,0,10,6,24,53,50,122
201711,Spanien,161,0,0,0,1,0,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201711,Türkei,163,1084,1050,34,1284,97,411,3,8,591,174,3586,243,96,409,3,7,538,119,1,2,0,1,53,42,13
201711,Ungarn,165,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Ukraine,166,105,95,10,198,0,8,1,7,135,47,489,32,0,8,1,4,126,27,0,0,0,3,9,12,8
201711,Großbritannien mit Nordirland,168,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201711,Weißrussland,169,21,13,8,41,0,2,0,0,14,25,35,14,0,2,0,0,14,21,0,0,0,0,0,2,2
201711,Serbien,170,432,186,246,419,0,0,0,4,188,227,308,252,0,0,0,3,174,17,0,0,0,1,14,193,17
201711,sonst. europ. Staatsangeh.,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Algerien,221,294,247,47,262,0,2,1,0,114,145,450,85,0,2,1,0,108,97,0,0,0,0,6,29,19
201711,Angola,223,13,12,1,25,0,0,1,7,8,9,79,4,0,0,1,7,8,9,0,0,0,0,0,0,0
201711,Eritrea,224,562,513,49,1212,92,448,373,55,39,205,1988,93,92,440,369,37,39,151,0,8,4,18,0,9,45
201711,Äthiopien,225,132,111,21,422,2,52,8,47,230,83,618,39,2,52,8,44,229,43,0,0,0,3,1,16,24
201711,Botsuana,227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,Benin,229,26,22,4,25,0,1,0,0,11,13,57,2,0,1,0,0,10,10,0,0,0,0,1,3,0
201711,Dschibuti,230,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
201711,Elfenbeinküste (Cote d Ivoire),231,98,91,7,201,0,8,1,6,94,92,408,27,0,8,1,6,91,85,0,0,0,0,3,2,5
201711,Nigeria,232,800,744,56,1400,4,127,18,143,688,420,4331,333,4,125,18,129,668,344,0,2,0,14,20,22,54
