YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-12,Albanien,121,289,198,91,309,0,0,1,6,166,136,385,188,0,0,1,6,163,54,0,0,0,0,3,79,3
2017-12,Bosnien und Herzegowina,122,128,41,87,106,0,0,0,4,50,52,74,37,0,0,0,1,43,1,0,0,0,3,7,48,3
2017-12,Belgien,124,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Bulgarien,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Kroatien,130,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Slowenien,131,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Griechenland,134,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Italien,137,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Lettland,139,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Montenegro,140,64,16,48,66,0,0,0,0,20,46,27,27,0,0,0,0,18,1,0,0,0,0,2,44,1
2017-12,Mazedonien,144,312,141,171,330,0,0,0,3,196,131,238,183,0,0,0,3,157,12,0,0,0,0,39,110,9
2017-12,Moldau (Republik),146,140,105,35,96,0,0,0,0,78,18,102,4,0,0,0,0,77,6,0,0,0,0,1,12,0
2017-12,Niederlande,148,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Norwegen,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Kosovo,150,122,54,68,173,0,0,1,1,105,66,184,85,0,0,0,1,96,13,0,0,1,0,9,48,5
2017-12,"Oesterreich",151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Polen,152,2,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Portugal,153,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Rumaenien,154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Slowakische Republik,155,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Russische Foederation,160,308,249,59,942,13,23,25,17,536,328,1455,376,13,21,23,11,507,206,0,2,2,6,29,29,93
2017-12,Spanien,161,1,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Tuerkei,163,517,494,23,914,71,288,7,13,396,139,3271,204,71,288,7,12,368,101,0,0,0,1,28,28,10
2017-12,Tschechische Republik,164,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2017-12,Ungarn,165,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Ukraine,166,107,82,25,157,0,0,1,2,120,34,472,38,0,0,1,2,115,20,0,0,0,0,5,13,1
2017-12,Grossbritannien mit Nordirland,168,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Weissrussland,169,27,18,9,31,0,1,0,0,9,21,43,13,0,1,0,0,9,10,0,0,0,0,0,5,6
2017-12,Serbien,170,318,119,199,327,0,0,0,0,145,182,308,266,0,0,0,0,131,5,0,0,0,0,14,154,23
2017-12,Britisch abh.Geb.Europa,195,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-12,sonst. europ. Staatsangeh.,199,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-12,Algerien,221,169,141,28,265,0,1,3,5,110,146,408,63,0,1,3,2,98,107,0,0,0,3,12,26,13
2017-12,Angola,223,18,17,1,38,0,4,5,7,4,18,63,4,0,4,5,6,3,18,0,0,0,1,1,0,0
2017-12,Eritrea,224,815,794,21,1036,94,374,357,38,39,134,2006,78,94,372,354,33,39,103,0,2,3,5,0,8,23
2017-12,"Aethiopien",225,88,72,16,251,0,46,5,32,130,38,528,43,0,44,5,28,129,23,0,2,0,4,1,3,12
2017-12,Botsuana,227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Benin,229,11,10,1,25,0,1,0,2,17,5,48,1,0,1,0,2,15,5,0,0,0,0,2,0,0
2017-12,Dschibuti,230,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-12,Elfenbeinkueste (Cote d Ivoire),231,55,51,4,158,1,11,2,8,72,64,339,25,1,11,2,8,71,56,0,0,0,0,1,0,8
2017-12,Nigeria,232,674,632,42,1266,0,139,28,175,477,447,3979,270,0,125,28,165,469,398,0,14,0,10,8,27,22
2017-12,Simbabwe,233,6,6,0,8,1,0,0,0,4,3,41,2,1,0,0,0,4,2,0,0,0,0,0,0,1
2017-12,Gabun,236,1,1,0,4,0,0,0,0,0,4,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2017-12,Gambia,237,185,175,10,761,0,16,12,31,423,279,2212,150,0,15,12,30,412,214,0,1,0,1,11,9,56
2017-12,Ghana,238,69,59,10,131,0,1,0,6,83,41,274,31,0,1,0,5,82,29,0,0,0,1,1,10,2
2017-12,Mauretanien,239,3,2,1,2,1,0,0,0,1,0,29,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Cabo Verde,242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Kenia,243,22,22,0,25,0,1,0,1,15,8,78,1,0,1,0,1,15,8,0,0,0,0,0,0,0
2017-12,Komoren,244,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Kongo,245,4,4,0,8,0,0,0,2,5,1,20,0,0,0,0,2,5,0,0,0,0,0,0,0,1
2017-12,"Kongo, Dem. Republik",246,24,20,4,35,0,3,2,4,16,10,115,21,0,3,2,4,16,9,0,0,0,0,0,1,0
2017-12,Liberia,247,5,5,0,26,0,1,0,1,12,12,106,5,0,1,0,0,11,11,0,0,0,1,1,0,1
2017-12,Libyen,248,134,127,7,156,2,16,5,4,52,77,439,30,2,16,5,4,51,68,0,0,0,0,1,3,6
2017-12,Madagaskar,249,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Mali,251,35,32,3,81,0,4,1,1,37,38,146,8,0,3,1,1,36,30,0,1,0,0,1,3,5
2017-12,Marokko,252,157,132,25,216,0,5,8,6,81,116,375,56,0,5,5,4,78,79,0,0,3,2,3,21,16
2017-12,Mauritius,253,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Mosambik,254,1,1,0,1,0,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Niger,255,8,6,2,8,0,0,0,0,1,7,30,4,0,0,0,0,1,5,0,0,0,0,0,0,2
2017-12,Malawi,256,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-12,Sambia,257,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Burkina-Faso,258,9,8,1,24,0,0,0,0,12,12,40,1,0,0,0,0,10,11,0,0,0,0,2,1,0
2017-12,Guinea-Bissau,259,22,20,2,29,0,0,0,0,8,21,61,3,0,0,0,0,8,17,0,0,0,0,0,0,4
2017-12,Guinea,261,205,189,16,369,1,36,5,36,156,135,1083,61,1,36,5,34,156,119,0,0,0,2,0,5,11
2017-12,Kamerun,262,82,80,2,228,0,4,1,4,143,76,592,25,0,4,1,4,140,67,0,0,0,0,3,3,6
2017-12,Suedafrika,263,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Ruanda,265,3,3,0,39,5,5,0,4,23,2,67,0,5,5,0,0,23,1,0,0,0,4,0,1,0
2017-12,Namibia,267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Senegal,269,20,15,5,64,0,0,0,0,30,34,98,13,0,0,0,0,29,18,0,0,0,0,1,8,8
2017-12,Sierra Leone,272,55,53,2,111,0,12,0,8,42,49,212,19,0,12,0,7,38,44,0,0,0,1,4,1,4
2017-12,Somalia,273,471,439,32,921,2,222,138,88,124,347,2886,252,2,208,135,68,115,267,0,14,3,20,9,22,58
2017-12,"Aequatorialguinea",274,3,1,2,2,0,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2017-12,Sudan (ohne Suedsudan),277,103,86,17,296,1,32,31,1,58,173,729,88,1,31,30,1,57,153,0,1,1,0,1,4,16
2017-12,Suedsudan,278,6,5,1,9,0,0,1,0,4,4,49,6,0,0,1,0,4,4,0,0,0,0,0,0,0
2017-12,Tansania,282,9,8,1,14,0,2,0,1,11,0,32,8,0,1,0,1,11,0,0,1,0,0,0,0,0
2017-12,Togo,283,38,38,0,115,0,7,0,7,64,37,276,23,0,7,0,7,64,32,0,0,0,0,0,0,5
2017-12,Tschad,284,8,7,1,16,0,2,0,0,2,12,32,7,0,2,0,0,2,11,0,0,0,0,0,1,0
2017-12,Tunesien,285,49,38,11,63,0,0,1,0,32,30,144,24,0,0,1,0,29,20,0,0,0,0,3,4,6
2017-12,Uganda,286,6,5,1,11,2,0,0,1,4,4,41,7,2,0,0,1,4,2,0,0,0,0,0,2,0
2017-12,"Aegypten",287,57,50,7,167,0,16,5,0,78,68,248,27,0,16,5,0,73,61,0,0,0,0,5,3,4
2017-12,Zentralafrikanische Republik,289,2,1,1,7,0,1,0,2,4,0,21,2,0,1,0,1,4,0,0,0,0,1,0,0,0
2017-12,Burundi,291,1,1,0,4,0,0,0,1,2,1,23,1,0,0,0,1,2,0,0,0,0,0,0,0,1
2017-12,sonst. afrik. Staatsangeh.,299,0,0,0,6,0,0,0,0,5,1,21,2,0,0,0,0,5,0,0,0,0,0,0,0,1
2017-12,Argentinien,323,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Brasilien,327,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-12,Dominikanische Republik,335,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,El Salvador,337,1,1,0,1,0,0,0,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Haiti,346,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Honduras,347,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-12,Kanada,348,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,Kolumbien,349,11,11,0,3,0,0,0,0,3,0,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2017-12,Kuba,351,6,6,0,2,0,0,0,0,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-12,Mexico,353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Nicaragua,354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Jamaica,355,8,6,2,7,0,0,0,0,5,2,8,1,0,0,0,0,5,0,0,0,0,0,0,2,0
2017-12,Paraguay,359,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2017-12,Peru,361,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Uruguay,365,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2017-12,Venezuela,367,11,11,0,9,1,0,0,1,6,1,73,0,1,0,0,1,6,1,0,0,0,0,0,0,0
2017-12,Vereinigte Staaten v. Amerika,368,0,0,0,4,0,3,0,0,0,1,13,0,0,3,0,0,0,1,0,0,0,0,0,0,0
2017-12,Trinidad und Tobago,371,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-12,China (Hongkong),411,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,Jemen,421,38,38,0,76,0,11,44,3,1,17,216,5,0,10,42,2,1,15,0,1,2,1,0,0,2
2017-12,Armenien,422,249,211,38,392,3,3,6,32,229,119,1221,159,3,3,6,29,225,67,0,0,0,3,4,25,27
