Albanien,121,378,245,133,1.149,-,-,6,18,810,315,2.302,550,-,-,6,13,776,116,-,-,-,5,34,173,26
Bosnien und Herzegowina,122,151,56,95,252,-,-,3,3,109,137,404,324,-,-,3,3,102,32,-,-,-,-,7,79,26
Belgien,124,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,-,-,-,2,-,-,-,-,-,2,18,1,-,-,-,-,-,1,-,-,-,-,-,-,1
Estland,127,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,-,-,-,4,-,-,-,-,3,1,8,3,-,-,-,-,3,1,-,-,-,-,-,-,-
Slowenien,131,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Griechenland,134,2,2,-,4,-,1,-,-,-,3,10,1,-,1,-,-,-,3,-,-,-,-,-,-,-
Italien,137,-,-,-,1,-,-,-,-,1,-,17,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Lettland,139,-,-,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Montenegro,140,46,30,16,100,-,-,-,-,53,47,253,94,-,-,-,-,52,8,-,-,-,-,1,38,1
Litauen,142,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Mazedonien,144,397,187,210,708,-,-,-,6,410,292,1.222,902,-,-,-,4,370,61,-,-,-,2,40,182,49
Moldau (Republik),146,113,105,8,210,-,4,-,-,168,38,137,6,-,4,-,-,168,31,-,-,-,-,-,7,-
Niederlande,148,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,224,110,114,589,-,-,-,8,358,223,1.365,550,-,-,-,8,333,93,-,-,-,-,25,120,10
Polen,152,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Portugal,153,-,-,-,1,-,-,-,-,-,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Rumänien,154,-,-,-,1,-,-,-,-,-,1,10,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Slowakische Republik,155,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,477,388,89,1.652,10,66,34,32,921,589,6.316,1.128,10,66,34,26,862,465,-,-,-,6,59,64,60
Spanien,161,-,-,-,3,-,-,-,-,-,3,20,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Türkei,163,533,492,41,252,5,7,5,2,108,125,7.447,632,5,7,5,2,106,108,-,-,-,-,2,10,7
Tschechische Republik,164,-,-,-,-,-,-,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,-,-,-,1,-,-,-,-,1,-,6,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Ukraine,166,79,63,16,721,1,16,9,19,528,148,3.569,116,1,16,9,19,522,112,-,-,-,-,6,2,34
Großbritannien mit Nordirland,168,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weißrussland,169,33,27,6,94,-,-,-,-,18,76,299,24,-,-,-,-,18,67,-,-,-,-,-,6,3
Serbien,170,444,205,239,857,-,1,-,2,466,388,1.493,1.178,-,1,-,2,413,68,-,-,-,-,53,274,46
sonst. europ. Staatsangeh.,199,-,-,-,-,-,-,-,-,-,-,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,"",2.879,1.911,968,6.605,16,95,57,90,3.956,2.391,24.932,5.524,16,95,57,77,3.729,1.172,-,-,-,13,227,956,263
Algerien,221,235,208,27,487,-,3,1,2,281,200,1.253,163,-,3,1,2,277,175,-,-,-,-,4,14,11
Angola,223,24,24,-,53,-,2,1,13,6,31,243,7,-,2,1,13,6,31,-,-,-,-,-,-,-
Eritrea,224,1.087,1.079,8,2.536,7,1.056,626,80,37,730,10.828,186,7,1.053,625,69,37,707,-,3,1,11,-,3,20
Äthiopien,225,101,94,7,822,1,101,32,40,423,225,5.535,83,1,101,32,40,420,216,-,-,-,-,3,8,1
Botsuana,227,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,11,11,-,91,-,-,-,1,78,12,306,9,-,-,-,1,77,7,-,-,-,-,1,3,2
Dschibuti,230,-,-,-,1,-,-,-,-,-,1,28,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,157,157,-,130,-,-,-,2,27,101,1.727,21,-,-,-,2,25,99,-,-,-,-,2,1,1
Nigeria,232,525,517,8,2.047,1,85,8,152,996,805,16.308,338,1,85,8,142,992,786,-,-,-,10,4,5,14
Simbabwe,233,25,25,-,23,9,-,-,-,12,2,229,-,9,-,-,-,12,2,-,-,-,-,-,-,-
Gabun,236,-,-,-,1,-,-,-,-,1,-,31,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Gambia,237,216,213,3,640,-,14,2,3,325,296,8.507,243,-,14,2,3,325,287,-,-,-,-,-,5,4
Ghana,238,82,77,5,591,-,4,1,20,443,123,1.605,43,-,4,1,20,440,113,-,-,-,-,3,6,4
Mauretanien,239,5,5,-,8,-,-,-,-,4,4,87,6,-,-,-,-,4,4,-,-,-,-,-,-,-
Cabo Verde,242,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,6,5,1,28,-,1,-,-,21,6,148,7,-,1,-,-,20,4,-,-,-,-,1,2,-
Komoren,244,1,1,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,4,4,-,17,2,5,-,1,7,2,179,6,2,5,-,1,7,2,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,23,20,3,55,13,16,-,1,8,17,545,60,13,16,-,1,8,14,-,-,-,-,-,1,2
Liberia,247,11,11,-,15,-,-,1,-,2,12,217,11,-,-,1,-,2,10,-,-,-,-,-,-,2
Libyen,248,88,88,-,180,12,25,15,2,53,73,881,37,12,25,15,2,49,69,-,-,-,-,4,1,3
Mali,251,55,51,4,145,-,11,2,-,36,96,1.227,49,-,11,2,-,33,92,-,-,-,-,3,1,3
Marokko,252,201,163,38,384,-,12,5,1,210,156,1.295,115,-,11,5,1,205,139,-,1,-,-,5,14,3
Mauritius,253,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,1,1,-,1,-,-,-,1,-,-,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Niger,255,13,11,2,31,-,1,-,-,19,11,137,13,-,1,-,-,19,10,-,-,-,-,-,-,1
Malawi,256,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,23,22,1,74,-,-,1,5,57,11,194,9,-,-,1,5,57,9,-,-,-,-,-,1,1
Guinea-Bissau,259,20,19,1,86,-,-,-,1,52,33,231,17,-,-,-,1,50,31,-,-,-,-,2,2,-
Guinea,261,355,350,5,676,3,53,18,17,239,346,3.964,134,3,52,18,17,236,330,-,1,-,-,3,5,11
Kamerun,262,98,96,2,192,-,5,-,8,98,81,1.990,67,-,5,-,8,97,78,-,-,-,-,1,3,-
Südafrika,263,1,1,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,6,6,-,5,-,-,-,-,3,2,102,1,-,-,-,-,3,1,-,-,-,-,-,1,-
Namibia,267,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome  und Principe,268,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,38,33,5,265,-,7,-,5,161,92,684,69,-,7,-,5,160,79,-,-,-,-,1,6,7
Sierra Leone,272,108,104,4,130,-,5,3,11,52,59,1.341,40,-,5,3,11,51,59,-,-,-,-,1,-,-
Somalia,273,585,550,35,2.201,1,538,526,317,255,564,10.705,502,1,535,524,306,254,518,-,3,2,11,1,16,30
Äquatorialguinea,274,-,-,-,-,-,-,-,-,-,-,16,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,61,57,4,167,-,26,11,5,21,104,2.567,71,-,26,11,5,21,99,-,-,-,-,-,1,4
Südsudan,278,3,3,-,4,-,1,-,-,-,3,116,8,-,1,-,-,-,3,-,-,-,-,-,-,-
Tansania,282,8,8,-,8,-,-,-,-,2,6,142,11,-,-,-,-,2,6,-,-,-,-,-,-,-
