Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
Albanien,121,1409,921,488,1782,0,2,6,14,1022,738,185,129,0,2,2,9,969,221,0,0,4,5,53,453,64
Bosnien und Herzegowina,122,493,256,237,516,0,0,2,3,243,268,68,30,0,0,1,3,220,42,0,0,1,0,23,201,25
Belgien,124,2,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Bulgarien,125,4,4,0,6,0,0,0,0,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Daenemark u. Faeroeer,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finnland,128,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankreich,129,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroatien,130,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Slowenien,131,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Griechenland,134,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Italien,137,5,4,1,25,0,0,0,0,21,4,6,0,0,0,0,0,20,3,0,0,0,0,1,1,0
Lettland,139,2,2,0,5,0,0,0,0,5,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Montenegro,140,205,106,99,222,0,0,0,1,128,93,34,12,0,0,0,0,108,4,0,0,0,1,20,82,7
Litauen,142,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mazedonien,144,1237,676,561,1473,0,2,4,10,808,649,142,101,0,2,1,4,704,97,0,0,3,6,104,489,63
Moldau (Republik),146,1136,804,332,1094,0,1,0,4,774,315,117,54,0,1,0,4,740,57,0,0,0,0,34,240,18
Niederlande,148,3,2,1,8,0,0,0,0,6,2,1,0,0,0,0,0,5,2,0,0,0,0,1,0,0
Norwegen,149,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kosovo,150,699,292,407,902,0,0,0,23,426,453,97,85,0,0,0,19,388,68,0,0,0,4,38,336,49
