Albanien,121,238,138,100,328,-,-,4,1,184,139,240,116,-,-,-,1,173,40,-,-,4,-,11,83,16
Bosnien und Herzegowina,122,63,34,29,73,-,-,1,2,38,32,53,25,-,-,1,2,34,3,-,-,-,-,4,19,10
Bulgarien,125,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kroatien,130,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Slowenien,131,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Griechenland,134,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Italien,137,1,1,-,7,-,-,-,-,6,1,14,-,-,-,-,-,6,1,-,-,-,-,-,-,-
Lettland,139,1,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,140,31,12,19,32,-,-,-,1,26,5,33,28,-,-,-,-,22,1,-,-,-,1,4,4,-
Mazedonien,144,238,128,110,260,-,-,3,3,108,146,216,113,-,-,-,-,88,38,-,-,3,3,20,94,14
Moldau (Republik),146,200,171,29,219,-,-,-,-,199,20,143,37,-,-,-,-,194,16,-,-,-,-,5,2,2
Niederlande,148,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norwegen,149,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,111,34,77,179,-,-,-,3,91,85,102,102,-,-,-,3,76,14,-,-,-,-,15,66,5
"Österreich",151,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Polen,152,-,-,-,2,-,-,-,-,2,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Portugal,153,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slowakische Republik,155,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Schweden,157,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,395,316,79,912,47,46,19,22,471,307,1.020,293,46,46,19,11,437,181,1,-,-,11,34,36,90
Spanien,161,1,1,-,1,-,-,-,1,-,-,8,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Türkei,163,622,583,39,835,61,277,14,12,355,116,2.809,194,61,276,12,12,332,105,-,1,2,-,23,10,1
Ungarn,165,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,166,101,89,12,130,-,2,3,2,88,35,373,21,-,2,3,2,85,11,-,-,-,-,3,19,5
Großbritannien mit Nordirland,168,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Weißrussland,169,15,10,5,40,-,-,2,1,11,26,39,10,-,-,2,1,10,23,-,-,-,-,1,1,2
Serbien,170,233,84,149,253,-,-,-,4,114,135,188,184,-,-,-,3,89,17,-,-,-,1,25,103,15
sonst. europ. Staatsangeh.,199,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,,2.251,1.603,648,3.275,108,325,46,52,1.696,1.048,5.265,1.127,107,324,37,36,1.551,451,1,1,9,16,145,437,160
Algerien,221,151,126,25,216,-,1,-,2,86,127,260,55,-,1,-,2,81,92,-,-,-,-,5,21,14
Angola,223,30,30,-,22,-,1,-,3,11,7,89,3,-,1,-,3,11,7,-,-,-,-,-,-,-
Eritrea,224,704,676,28,771,33,235,228,26,15,234,1.789,79,33,232,221,15,15,213,-,3,7,11,-,5,16
"Äthiopien",225,68,57,11,237,1,15,5,27,132,57,342,23,1,14,5,26,123,41,-,1,-,1,9,5,11
Botsuana,227,-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Benin,229,8,8,-,16,-,-,-,1,12,3,29,-,-,-,-,1,12,3,-,-,-,-,-,-,-
Dschibuti,230,2,2,-,2,-,-,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Elfenbeinküste (Cote d Ivoire),231,57,52,5,184,1,9,2,6,118,48,220,12,1,9,2,6,116,39,-,-,-,-,2,4,5
Nigeria,232,978,914,64,1.325,11,113,18,121,478,584,3.214,209,11,109,18,112,470,502,-,4,-,9,8,55,27
Simbabwe,233,5,5,-,12,-,2,-,-,7,3,29,-,-,2,-,-,6,3,-,-,-,-,1,-,-
Gabun,236,-,-,-,2,-,-,-,-,2,-,18,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Gambia,237,157,136,21,561,-,20,2,11,338,190,1.013,96,-,20,2,11,323,139,-,-,-,-,15,15,36
Ghana,238,73,64,9,157,-,3,-,5,101,48,196,25,-,1,-,5,100,36,-,2,-,-,1,9,3
Mauretanien,239,2,1,1,3,-,-,-,-,-,3,14,3,-,-,-,-,-,2,-,-,-,-,-,-,1
Cabo Verde,242,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,56,56,-,38,-,-,-,-,22,16,78,-,-,-,-,-,22,12,-,-,-,-,-,-,4
Komoren,244,-,-,-,1,-,-,-,-,-,1,9,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Kongo,245,2,1,1,4,-,2,-,-,1,1,11,-,-,2,-,-,1,-,-,-,-,-,-,1,-
"Kongo, Dem. Republik",246,18,16,2,22,-,1,-,4,13,4,113,16,-,1,-,1,10,1,-,-,-,3,3,1,2
Liberia,247,20,20,-,27,-,-,-,-,14,13,77,3,-,-,-,-,13,13,-,-,-,-,1,-,-
Libyen,248,92,82,10,183,-,5,6,9,45,118,293,21,-,4,6,8,44,111,-,1,-,1,1,3,4
Madagaskar,249,3,3,-,1,-,-,-,-,1,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Mali,251,44,33,11,59,-,1,-,2,24,32,99,15,-,1,-,2,24,22,-,-,-,-,-,6,4
Marokko,252,132,104,28,179,-,3,-,2,83,91,245,50,-,3,-,1,80,57,-,-,-,1,3,26,8
Mosambik,254,-,-,-,1,-,-,-,-,1,-,13,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Niger,255,8,6,2,13,-,-,2,1,4,6,19,2,-,-,2,1,1,4,-,-,-,-,3,1,1
Sambia,257,1,1,-,1,-,-,-,-,1,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Burkina-Faso,258,5,5,-,14,-,1,-,1,5,7,29,1,-,1,-,1,4,5,-,-,-,-,1,-,2
Guinea-Bissau,259,14,14,-,29,-,-,-,-,8,21,44,2,-,-,-,-,7,18,-,-,-,-,1,2,1
Guinea,261,252,232,20,427,2,30,10,30,212,143,866,44,2,29,10,30,211,118,-,1,-,-,1,13,12
Kamerun,262,78,73,5,212,-,3,2,12,133,62,320,14,-,3,2,11,132,43,-,-,-,1,1,4,15
Südafrika,263,2,2,-,1,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Ruanda,265,4,4,-,10,-,1,1,1,5,2,51,-,-,1,-,-,5,1,-,-,1,1,-,-,1
Namibia,267,-,-,-,2,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Senegal,269,26,18,8,54,-,-,-,-,25,29,64,13,-,-,-,-,22,22,-,-,-,-,3,6,1
Sierra Leone,272,17,14,3,84,-,4,1,10,52,17,122,10,-,4,1,10,51,14,-,-,-,-,1,1,2
Somalia,273,457,404,53,905,5,192,124,83,164,337,2.193,215,5,185,122,53,149,264,-,7,2,30,15,16,57
