ISO-alpha-3,ASYLANTRAEGE davon Erstantraege
NER, 84
MMR, 84
RWA, 93
BWA, 98
TZA, 99
BEN,108
ZWE,114
COL,133
UGA,149
MNE,152
MNG, 160
LBR,177
BGD,177
BLR,178
GNB,186
JOR,186
COD,238
AGO,266
SEN,271
TGO,295
MLI,297
KEN,311
LKA,319
CHN,403
VEN,404
BIH,408
TJK,411
SLE,412
RKS,563
TUN,573
VNM,616
LBN,646
EGY,659
CIV,677
SDN,776
IND,832
GHA,863
LBY,867
YEM,894
CMR,919
UKR,1061
MAR,1096
SRB,1101
ETH,1116
DZA,1199
MKD,1247
GMB,1380
ARM,1512
MDA,1782
AZE,1783
ALB,1877
PAK,2211
GIN,2873
GEO,3764
RUS,3938
SOM,5073
ERI,5571
AFG,9942
TUR,10160
NGA,10168
IRN,10857
IRQ,16333
SYR,44167
