Albanien,121,271,188,83,272,-,-,-,-,170,102,311,118,-,-,-,-,164,40,-,-,-,-,6,57,5
Bosnien und Herzegowina,122,76,19,57,101,-,-,-,3,35,63,40,36,-,-,-,3,31,4,-,-,-,-,4,59,-
Belgien,124,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bulgarien,125,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankreich,129,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kroatien,130,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italien,137,1,-,1,1,-,-,-,-,1,-,4,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Montenegro,140,32,11,21,30,-,-,-,-,5,25,22,57,-,-,-,-,4,-,-,-,-,-,1,24,1
Litauen,142,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nordmazedonien,144,195,89,106,202,-,-,-,-,79,123,151,111,-,-,-,-,67,8,-,-,-,-,12,104,11
"Moldau, Republik",146,505,339,166,529,-,-,-,2,195,332,513,74,-,-,-,2,194,107,-,-,-,-,1,181,44
Niederlande,148,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norwegen,149,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kosovo,150,79,35,44,89,-,-,-,2,33,54,114,49,-,-,-,2,30,4,-,-,-,-,3,46,4
"Österreich",151,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Polen,152,1,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,-,-,-,1,-,-,-,-,1,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Schweden,157,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,458,322,136,517,12,7,14,3,199,282,823,312,12,4,7,3,171,179,-,3,7,-,28,55,48
Spanien,161,-,-,-,1,-,-,-,-,1,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Türkei,163,889,826,63,1.222,58,534,8,4,473,145,5.989,243,58,525,5,2,462,99,-,9,3,2,11,39,7
Ungarn,165,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,166,77,54,23,139,-,-,1,9,67,62,381,80,-,-,1,9,66,37,-,-,-,-,1,23,2
Großbritannien mit Nordirland,168,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Weißrussland,169,14,14,-,17,-,-,-,-,-,17,32,6,-,-,-,-,-,13,-,-,-,-,-,1,3
Serbien,170,221,109,112,211,-,-,-,-,116,95,169,183,-,-,-,-,103,21,-,-,-,-,13,70,4
Zypern,181,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,2.821,2.009,812,3.334,70,541,23,23,1.377,1.300,8.576,1.271,70,529,13,21,1.297,512,-,12,10,2,80,659,129,
Algerien,221,143,113,30,153,-,1,-,2,61,89,218,49,-,1,-,2,57,61,-,-,-,-,4,15,13
Angola,223,36,36,-,41,-,1,-,1,18,21,116,5,-,1,-,1,18,20,-,-,-,-,-,-,1
Eritrea,224,262,245,17,391,6,201,76,26,33,49,1.331,69,6,200,75,18,33,40,-,1,1,8,-,6,3
"Äthiopien",225,67,49,18,134,1,9,2,10,61,51,281,71,1,8,2,9,60,20,-,1,-,1,1,24,7
Benin,229,6,6,-,11,-,-,-,1,3,7,29,-,-,-,-,1,3,6,-,-,-,-,-,-,1
Dschibuti,230,1,-,1,1,-,1,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,47,45,2,61,-,4,2,1,29,25,194,12,-,4,2,-,27,15,-,-,-,1,2,-,10
Nigeria,232,534,445,89,798,3,23,4,44,324,400,2.142,375,2,19,3,35,308,235,1,4,1,9,16,60,105
Simbabwe,233,12,11,1,7,3,-,-,-,2,2,64,2,3,-,-,-,2,2,-,-,-,-,-,-,-
Gabun,236,-,-,-,2,-,-,-,-,2,-,5,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Gambia,237,123,100,23,146,-,2,1,3,37,103,274,69,-,2,1,2,37,63,-,-,-,1,-,13,27
Ghana,238,55,50,5,63,-,-,-,1,33,29,199,39,-,-,-,1,32,21,-,-,-,-,1,4,4
Mauretanien,239,9,7,2,1,-,-,-,-,-,1,33,7,-,-,-,-,-,1,-,-,-,-,-,-,-
Kenia,243,36,32,4,28,-,-,-,-,11,17,104,9,-,-,-,-,11,16,-,-,-,-,-,1,-
Komoren,244,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,2,2,-,3,-,-,-,-,1,2,23,-,-,-,-,-,1,2,-,-,-,-,-,-,-
"Kongo, Demokratische Republik",246,24,23,1,18,-,1,-,2,6,9,96,7,-,1,-,2,6,8,-,-,-,-,-,1,-
Liberia,247,8,7,1,19,-,2,-,-,4,13,55,3,-,2,-,-,4,7,-,-,-,-,-,1,5
Libyen,248,73,64,9,78,-,8,11,-,7,52,285,26,-,8,10,-,7,44,-,-,1,-,-,4,4
Madagaskar,249,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mali,251,23,15,8,39,-,1,-,3,8,27,71,12,-,1,-,3,7,17,-,-,-,-,1,4,6
Marokko,252,114,90,24,131,-,-,-,1,66,64,210,42,-,-,-,1,62,43,-,-,-,-,4,12,9
Mauritius,253,1,1,-,1,-,-,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Mosambik,254,-,-,-,5,-,-,-,5,-,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Niger,255,10,5,5,8,-,-,-,1,1,6,15,10,-,-,-,1,1,2,-,-,-,-,-,1,3
Malawi,256,2,1,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Sambia,257,-,-,-,2,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Burkina Faso,258,8,8,-,14,-,1,-,1,8,4,23,2,-,1,-,1,7,4,-,-,-,-,1,-,-
Guinea-Bissau,259,15,13,2,16,-,-,-,1,6,9,30,5,-,-,-,1,6,5,-,-,-,-,-,2,2
Guinea,261,187,164,23,248,3,19,8,10,128,80,853,81,3,19,8,10,119,46,-,-,-,-,9,11,23
Kamerun,262,77,75,2,64,-,3,-,-,40,21,327,22,-,3,-,-,38,18,-,-,-,-,2,-,3
Südafrika,263,6,6,-,1,-,-,-,-,1,-,12,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Ruanda,265,44,44,-,10,-,-,-,-,9,1,102,5,-,-,-,-,9,1,-,-,-,-,-,-,-
Namibia,267,5,5,-,2,-,-,-,-,2,-,13,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Senegal,269,23,20,3,40,-,-,-,1,17,22,46,16,-,-,-,-,17,16,-,-,-,1,-,-,6
Sierra Leone,272,30,25,5,26,-,2,-,2,15,7,93,13,-,1,-,2,14,4,-,1,-,-,1,2,1
Somalia,273,313,277,36,459,4,147,30,20,60,198,1.419,152,4,142,30,14,57,153,-,5,-,6,3,20,25
"Äquatorialguinea",274,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,277,43,36,7,63,-,8,1,-,19,35,277,53,-,8,1,-,17,18,-,-,-,-,2,8,9
Südsudan,278,4,3,1,6,-,1,-,1,-,4,24,2,-,1,-,1,-,2,-,-,-,-,-,1,1
"Tansania, Vereinigte Republik",282,7,6,1,21,-,2,-,-,10,9,65,1,-,2,-,-,10,9,-,-,-,-,-,-,-
Togo,283,21,20,1,26,-,-,-,1,13,12,59,7,-,-,-,1,13,11,-,-,-,-,-,-,1
Tschad,284,11,9,2,7,-,-,-,2,2,3,30,6,-,-,-,2,2,2,-,-,-,-,-,1,-
Tunesien,285,55,39,16,54,-,4,-,1,19,30,133,22,-,-,-,1,18,21,-,4,-,-,1,8,1
Uganda,286,5,5,-,11,-,3,-,1,2,5,62,1,-,3,-,1,2,4,-,-,-,-,-,-,1
