1,"Syrien, Arabische Republik",89.292,88.774,518,75.742,74.069,239,573,117,"98,7%",24,959
2,Irak,25.942,25.721,221,7.656,6.238,67,258,42,"85,4%",341,777
3,Afghanistan,20.257,20.162,95,2.237,636,8,147,285,"47,7%",608,561
4,Ungeklärt,8.468,8.382,86,3.493,3.241,7,32,6,"93,9%",98,116
5,"Iran, Islamische Republik",4.504,4.433,71,830,456,47,6,16,"57,6%",173,179
6,Albanien,3.679,3.309,370,14.567,2,-,23,14,"0,3%",12.138,2.390
7,Pakistan,2.907,2.843,64,942,55,1,3,7,"6,9%",647,230
8,Eritrea,2.422,2.384,38,5.884,5.649,63,33,3,"96,6%",41,158
9,Staatenlos,1.632,1.617,15,1.126,1.066,2,15,6,"96,5%",14,25
10,Serbien,2.650,1.487,1.163,9.179,3,-,-,8,"0,1%",5.764,3.404
